id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup
91,GP,1,16,U,GT3,T,3,3,other,other,,mother,1,3,0,no,yes
92,GP,1,15,U,,T,4,3,services,other,,mother,1,1,0,no,no
93,GP,1,16,U,,T,3,1,other,other,,father,1,2,0,yes,yes
94,GP,1,16,U,GT3,T,4,2,teacher,services,,mother,2,2,0,no,yes
95,GP,M,15,U,LE3,T,2,2,services,health,,mother,1,4,0,no,yes
96,GP,1,15,R,,T,1,1,at_home,other,,mother,2,4,1,yes,yes
97,GP,M,16,R,GT3,T,4,3,services,other,,mother,2,1,0,yes,yes
98,GP,1,16,U,,T,2,1,other,other,,mother,1,2,0,no,yes
99,GP,1,16,U,,T,4,4,other,other,,mother,1,1,0,no,no
100,GP,1,16,U,GT3,T,4,3,other,at_home,,mother,1,3,0,yes,yes
101,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes
102,GP,M,16,U,,T,4,4,services,teacher,,father,1,3,0,no,yes
103,GP,M,15,U,,T,4,4,services,other,course,mother,1,1,0,no,yes
104,GP,1,15,U,,T,3,2,services,other,,mother,2,2,0,yes,yes
105,GP,M,15,U,,A,3,4,services,other,course,mother,1,2,0,no,yes
106,GP,1,15,U,,A,3,3,other,health,,father,1,4,0,yes,no
107,GP,1,15,U,,T,2,2,other,other,,mother,1,4,0,yes,yes
108,GP,M,16,U,,T,3,3,services,other,,father,1,3,0,no,yes
109,GP,M,15,R,GT3,T,4,4,other,other,,father,4,4,0,no,yes
110,GP,1,16,U,,T,4,4,health,health,,mother,1,3,0,no,yes
111,GP,M,15,U,,A,4,4,teacher,teacher,,mother,1,1,0,no,no
112,GP,1,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes
113,GP,1,16,U,GT3,T,2,2,at_home,other,,mother,1,2,1,yes,no
114,GP,M,15,U,,T,4,2,teacher,other,,mother,1,1,0,no,no
115,GP,M,15,R,GT3,T,2,1,health,services,,mother,1,2,0,no,no
116,GP,M,16,U,,T,4,4,teacher,teacher,,father,1,2,0,no,yes
117,GP,M,15,U,,T,4,4,other,teacher,reputation,father,2,2,0,no,yes
118,GP,M,16,U,,T,3,3,other,services,,father,2,1,0,no,no
119,GP,M,17,R,,T,1,3,other,other,course,father,3,2,1,no,yes
120,GP,M,15,U,,T,3,4,other,other,,father,1,1,0,no,no
121,GP,1,15,U,GT3,T,1,2,at_home,services,,mother,1,2,0,no,no
122,GP,M,15,U,,T,2,2,services,services,home,father,1,4,0,no,yes
123,GP,1,16,U,,T,2,4,other,health,,father,2,2,0,no,yes
124,GP,M,16,U,,T,4,4,health,other,,mother,1,1,0,no,yes
125,GP,1,16,U,,T,2,2,other,other,,mother,1,2,0,no,no
126,GP,M,15,U,,T,3,4,services,services,,father,1,1,0,yes,no
127,GP,1,15,U,LE3,A,3,4,other,other,,mother,1,2,0,yes,no
128,GP,1,19,U,,T,0,1,at_home,other,,other,1,2,3,no,yes
129,GP,M,18,R,,T,2,2,services,other,,mother,1,1,2,no,yes
130,GP,M,16,R,GT3,T,4,4,teacher,teacher,,mother,1,1,0,no,no
131,GP,1,15,R,,T,3,4,services,teacher,,father,2,3,2,no,yes
132,GP,1,15,U,,T,1,1,at_home,other,course,mother,3,1,0,no,yes
133,GP,1,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes
134,GP,1,16,U,,A,3,4,services,other,,father,1,1,0,no,no
135,GP,M,15,R,,T,3,4,at_home,teacher,,mother,4,2,0,no,yes
136,GP,1,15,U,GT3,T,4,4,services,at_home,,mother,1,3,0,no,yes
137,GP,M,17,R,GT3,T,3,4,at_home,other,,mother,3,2,0,no,no
138,GP,1,16,U,,A,3,3,other,other,,other,2,1,2,no,yes
139,GP,M,16,U,,T,1,1,services,other,,mother,1,2,1,no,no
140,GP,1,15,U,,T,4,4,teacher,teacher,,mother,2,1,0,no,no
141,GP,M,15,U,,T,4,3,teacher,services,,father,2,4,0,yes,yes
142,GP,M,16,U,,T,2,2,services,services,,father,2,1,2,no,yes
143,GP,1,15,U,,T,4,4,teacher,services,,mother,1,3,0,no,yes
144,GP,1,16,U,LE3,T,1,1,at_home,at_home,,mother,1,1,0,no,no
145,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,no,yes
146,GP,1,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes
147,GP,1,15,U,GT3,T,3,2,health,services,,father,1,2,3,no,yes
148,GP,1,15,U,GT3,T,1,2,at_home,other,,mother,1,2,0,no,yes
149,GP,M,16,U,,T,4,4,teacher,teacher,,mother,1,1,0,no,yes
150,GP,M,15,U,,A,2,1,services,other,course,mother,4,1,3,no,no
151,GP,M,18,U,LE3,T,1,1,other,other,,mother,1,1,3,no,no
152,GP,M,16,U,,T,2,1,at_home,other,,mother,1,1,1,no,no
153,GP,1,15,R,,T,3,3,services,services,,other,2,3,2,no,yes
154,GP,M,19,U,,T,3,2,services,at_home,,mother,1,1,3,no,yes
155,GP,1,17,U,,T,4,4,other,teacher,,mother,1,1,0,yes,yes
156,GP,M,15,R,,T,2,3,at_home,services,,mother,1,2,0,yes,no
157,GP,M,17,R,,T,1,2,other,other,,mother,1,1,0,no,no
158,GP,1,18,R,,T,1,1,at_home,other,,mother,3,1,3,no,yes
159,GP,M,16,R,GT3,T,2,2,at_home,other,,mother,3,1,0,no,no
160,GP,M,16,U,GT3,T,3,3,other,services,,father,1,2,1,no,yes
161,GP,M,17,R,,T,2,1,at_home,other,,mother,2,1,2,no,no
162,GP,M,15,R,GT3,T,3,2,other,other,,mother,2,2,2,yes,yes
163,GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1,no,no
164,GP,M,17,U,,T,1,3,at_home,services,,father,1,1,0,no,no
165,GP,M,17,R,,T,1,1,other,services,,mother,4,2,3,no,no
166,GP,M,16,U,,T,3,2,services,services,,mother,2,1,1,no,yes
167,GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no
168,GP,1,16,U,GT3,T,4,2,health,services,,father,1,2,0,no,no
169,GP,1,16,U,GT3,T,2,2,other,other,,mother,1,2,0,no,yes
170,GP,1,16,U,,T,4,4,health,health,,mother,1,2,0,no,yes
171,GP,M,16,U,,T,3,4,other,other,,father,3,1,2,no,yes
172,GP,M,16,U,GT3,T,1,0,other,other,,mother,2,2,0,no,yes
173,GP,M,17,U,LE3,T,4,4,teacher,other,,mother,1,2,0,no,yes
174,GP,1,16,U,,T,1,3,at_home,services,,mother,1,2,3,no,no
175,GP,1,16,U,,T,3,3,other,other,,mother,2,2,0,no,yes
176,GP,M,17,U,,T,4,3,teacher,other,course,mother,2,2,0,no,no
177,GP,1,16,U,,T,2,2,services,other,,mother,2,2,0,no,no
178,GP,M,17,U,GT3,T,3,3,other,other,,father,1,2,0,no,no
179,GP,M,16,R,,T,4,2,teacher,services,,mother,1,1,0,no,yes
180,GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes
181,GP,M,16,U,,T,4,3,teacher,other,,mother,1,2,0,no,yes
182,GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no
183,GP,1,17,U,,T,2,4,services,services,,father,1,2,0,no,yes
184,GP,1,17,U,LE3,T,3,3,other,other,,mother,1,2,0,no,yes
185,GP,1,16,U,GT3,T,3,2,other,other,,mother,1,2,0,no,yes
186,GP,M,17,U,,T,3,3,services,services,,mother,1,2,0,no,yes
187,GP,M,16,U,,T,1,2,services,services,,mother,1,1,0,no,yes
188,GP,M,16,U,,T,2,1,other,other,course,mother,1,2,0,no,no
189,GP,1,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,no,yes
190,GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,no
191,GP,1,16,U,,T,2,3,services,services,,mother,1,2,0,no,no
192,GP,1,17,U,GT3,T,1,1,at_home,services,,mother,1,2,0,no,no
193,GP,M,17,U,,T,1,2,at_home,services,,other,2,2,0,no,no
194,GP,M,16,R,GT3,T,3,3,services,services,,mother,1,1,0,no,yes
195,GP,M,16,U,GT3,T,2,3,other,other,,father,2,1,0,no,no
196,GP,1,17,U,LE3,T,2,4,services,services,,father,1,2,0,no,no
197,GP,M,17,U,GT3,T,4,4,services,teacher,,mother,1,1,0,no,no
198,GP,M,16,R,,T,3,3,teacher,other,,father,3,1,0,no,yes
199,GP,1,17,U,GT3,T,4,4,services,teacher,,mother,2,1,1,no,yes
200,GP,1,16,U,LE3,T,4,4,teacher,teacher,,mother,1,2,0,no,yes
201,GP,1,16,U,,T,4,3,health,other,,mother,1,2,0,no,yes
202,GP,1,16,U,,T,2,3,other,other,,mother,1,2,0,yes,yes
203,GP,1,17,U,,T,1,1,other,other,,mother,1,2,0,no,yes
204,GP,1,17,R,GT3,T,2,2,other,other,,mother,1,1,0,no,yes
205,GP,1,16,R,,T,2,2,services,services,,mother,2,4,0,no,yes
206,GP,1,17,U,,T,3,4,at_home,services,,mother,1,3,1,no,yes
207,GP,1,16,U,,A,3,1,services,other,,mother,1,2,3,no,yes
208,GP,1,16,U,,T,4,3,teacher,other,,mother,1,2,0,no,no
209,GP,1,16,U,,T,1,1,at_home,other,,mother,2,1,0,no,yes
210,GP,1,17,R,,T,4,3,teacher,other,,mother,2,3,0,no,yes
211,GP,1,19,U,,T,3,3,other,other,reputation,other,1,4,0,no,yes
212,GP,M,17,U,,T,4,4,services,other,home,mother,1,2,0,no,yes
213,GP,1,16,U,GT3,A,2,2,other,other,,mother,1,2,0,yes,yes
214,GP,M,18,U,,T,2,2,services,other,,mother,1,2,1,no,yes
215,GP,1,17,R,,T,4,4,services,other,,mother,1,1,0,no,yes
216,GP,1,17,U,,T,3,2,other,other,,mother,2,2,0,no,no
217,GP,1,17,U,GT3,T,4,3,other,other,,mother,1,2,2,no,no
218,GP,M,18,U,,T,3,3,services,health,,father,1,2,1,no,yes
219,GP,1,17,U,,T,2,3,at_home,other,,father,2,1,0,no,yes
220,GP,1,17,U,GT3,T,2,2,at_home,at_home,,mother,1,3,0,no,yes
221,GP,1,17,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,0,no,yes
222,GP,1,17,U,GT3,T,1,1,at_home,other,,mother,1,3,1,no,yes
223,GP,1,16,U,GT3,T,2,3,services,teacher,,mother,1,2,0,yes,no
224,GP,M,18,U,,T,2,2,other,other,,mother,2,2,0,no,yes
225,GP,1,16,U,GT3,T,4,4,teacher,services,,mother,1,3,0,no,yes
226,GP,1,18,R,,T,3,1,other,other,,mother,1,2,1,no,no
227,GP,1,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no
228,GP,M,17,U,LE3,T,2,3,services,services,,father,1,2,0,no,yes
229,GP,M,18,U,,T,2,1,at_home,other,,mother,4,2,0,yes,yes
230,GP,1,17,U,,A,2,1,other,other,,mother,2,3,0,no,no
231,GP,1,17,U,LE3,T,4,3,health,other,,father,1,2,0,no,no
232,GP,M,17,R,,T,2,2,other,other,,father,2,2,0,no,yes
233,GP,M,17,U,,T,4,4,teacher,teacher,,mother,1,2,0,yes,yes
234,GP,M,16,U,,T,4,4,health,other,,father,1,2,0,no,yes
235,GP,M,16,U,LE3,T,1,1,other,other,,mother,2,2,0,no,yes
236,GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no
237,GP,M,17,U,,T,2,2,other,other,,father,1,2,0,no,no
238,GP,1,16,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,no
239,GP,1,17,R,,T,2,1,at_home,services,,mother,3,2,0,no,no
240,GP,M,18,U,GT3,T,2,2,other,services,reputation,father,1,2,1,no,no
241,GP,M,17,U,LE3,T,4,3,health,other,course,mother,2,2,0,no,no
242,GP,M,17,R,,A,4,4,teacher,other,,mother,2,2,0,no,yes
243,GP,M,16,U,,T,4,3,teacher,other,,mother,1,1,0,no,no
244,GP,M,16,U,GT3,T,4,4,services,services,,mother,1,1,0,no,no
245,GP,1,18,U,,T,2,1,other,other,,other,2,3,0,no,yes
246,GP,M,16,U,,T,2,1,other,other,course,mother,3,1,0,no,no
247,GP,M,17,U,GT3,T,2,3,other,other,course,father,2,1,0,no,no
248,GP,M,22,U,GT3,T,3,1,services,services,,mother,1,1,3,no,no
249,GP,M,18,R,,T,3,3,other,services,course,mother,1,2,1,no,yes
250,GP,M,16,U,GT3,T,0,2,other,other,other,mother,1,1,0,no,no
251,GP,M,18,U,,T,3,2,services,other,,mother,2,1,1,no,no
252,GP,M,16,U,,T,3,3,at_home,other,,other,3,2,0,yes,yes
253,GP,M,18,U,GT3,T,2,1,services,services,,mother,1,1,1,no,no
254,GP,M,16,R,GT3,T,2,1,other,other,,mother,2,1,0,no,no
255,GP,M,17,R,,T,2,1,other,other,,mother,1,1,0,no,no
256,GP,M,17,U,,T,1,1,health,other,,mother,2,1,1,no,yes
257,GP,1,17,U,LE3,T,4,2,teacher,services,reputation,mother,1,4,0,no,yes
258,GP,M,19,U,,A,4,3,services,at_home,,mother,1,2,0,no,yes
259,GP,M,18,U,GT3,T,2,1,other,other,,mother,1,2,0,no,no
260,GP,1,17,U,LE3,T,2,2,services,services,,father,1,4,0,no,no
261,GP,1,18,U,,T,4,3,services,other,,father,1,2,0,no,yes
262,GP,M,18,U,,T,4,3,teacher,other,,mother,1,2,0,no,yes
263,GP,M,18,R,GT3,T,3,2,other,other,,mother,1,3,0,no,no
264,GP,1,17,U,,T,3,3,other,other,,mother,1,3,0,no,no
265,GP,1,18,U,,T,2,2,at_home,services,,mother,1,3,0,no,yes
266,GP,M,18,R,,A,3,4,other,other,,mother,2,2,0,no,yes
267,GP,M,17,U,,T,3,1,services,other,,mother,1,2,0,no,no
268,GP,1,18,R,GT3,T,4,4,teacher,other,,mother,2,2,0,no,no
269,GP,M,18,U,GT3,T,4,2,health,other,,father,1,2,0,no,yes
270,GP,1,18,R,GT3,T,2,1,other,other,,mother,2,2,0,no,yes
271,GP,1,19,U,GT3,T,3,3,other,services,,other,1,2,2,no,yes
272,GP,1,18,U,,T,2,3,other,services,,father,1,4,0,no,yes
273,GP,1,18,U,,T,1,1,other,other,,mother,2,2,0,no,yes
274,GP,M,17,R,GT3,T,1,2,at_home,at_home,,mother,1,2,0,no,yes
275,GP,1,17,U,,T,2,4,at_home,health,,mother,2,2,0,no,yes
276,GP,1,17,U,,T,2,2,services,other,course,mother,2,2,0,yes,yes
277,GP,1,18,R,,A,3,2,other,services,,mother,2,2,0,no,no
278,GP,M,18,U,GT3,T,4,4,teacher,services,,mother,2,1,0,no,no
279,GP,1,18,U,GT3,T,4,4,health,health,,father,1,2,1,yes,yes
280,GP,M,18,U,,T,4,3,teacher,services,,mother,2,1,0,no,no
281,GP,M,17,U,LE3,A,4,1,services,other,,mother,2,1,0,no,no
282,GP,M,17,U,,A,3,2,teacher,services,,mother,1,1,1,no,no
283,GP,1,18,R,LE3,T,1,1,at_home,other,,mother,2,4,0,no,yes
284,GP,1,18,U,GT3,T,1,1,other,other,,mother,2,2,0,yes,no
285,GP,1,17,U,GT3,T,2,2,other,other,,mother,1,2,0,no,yes
286,GP,M,17,U,GT3,T,1,1,other,other,,father,1,2,0,no,no
287,GP,1,18,U,,T,2,2,at_home,at_home,,mother,1,3,0,no,yes
288,GP,1,17,U,GT3,T,1,1,services,teacher,,mother,1,3,0,no,yes
289,GP,M,18,U,GT3,T,2,1,services,services,,mother,1,3,0,no,no
290,GP,M,18,U,,A,4,4,teacher,teacher,,mother,1,2,0,no,yes
291,GP,M,18,U,,T,4,2,teacher,other,,mother,1,2,0,no,yes
292,GP,1,17,U,,T,4,3,health,services,reputation,mother,1,3,0,no,yes
293,GP,1,18,U,,T,2,1,services,at_home,,mother,1,2,1,no,no
294,GP,1,17,R,,T,3,1,services,other,,mother,2,4,0,no,yes
295,GP,M,18,R,,T,3,2,services,other,,mother,2,3,0,no,yes
296,GP,M,17,U,,T,3,3,health,other,,mother,1,1,0,no,yes
297,GP,1,19,U,,T,4,4,health,other,,other,2,2,0,no,yes
298,GP,1,18,U,LE3,T,4,3,other,other,,other,2,2,0,no,yes
299,GP,1,18,U,,T,4,3,other,other,,father,1,4,0,no,yes
300,GP,M,18,U,,T,4,4,teacher,teacher,home,mother,1,1,0,no,yes
301,GP,1,18,U,,A,4,4,health,other,,mother,1,2,0,no,yes
302,GP,M,17,U,LE3,T,4,4,other,teacher,,father,2,1,0,no,no
303,GP,1,17,U,,T,4,2,other,other,,mother,2,3,0,no,yes
304,GP,1,17,U,GT3,T,3,2,health,health,,father,1,4,0,no,yes
305,GP,M,19,U,GT3,T,3,3,other,other,,other,1,2,1,no,yes
306,GP,1,18,U,,T,2,4,services,at_home,,other,1,2,1,no,yes
307,GP,M,20,U,GT3,A,3,2,services,other,,other,1,1,0,no,no
308,GP,M,19,U,,T,4,4,teacher,services,,other,2,1,1,no,yes
309,GP,M,19,R,GT3,T,3,3,other,services,,father,1,2,1,no,no
310,GP,1,19,U,,T,1,1,at_home,other,,other,1,2,1,yes,yes
311,GP,1,19,U,,T,1,2,services,services,,other,1,2,1,no,no
312,GP,1,19,U,,T,2,1,at_home,other,,other,3,2,0,no,yes
313,GP,M,19,U,,T,1,2,other,services,,other,1,2,1,no,no
314,GP,1,19,U,,T,3,2,services,other,,other,2,2,1,no,yes
315,GP,1,19,U,GT3,T,1,1,at_home,health,,other,1,3,2,no,no
316,GP,1,19,R,,T,2,3,other,other,,other,1,3,1,no,no
317,GP,1,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes
318,GP,1,18,U,GT3,T,4,3,other,other,,mother,1,3,0,no,yes
319,GP,1,17,R,GT3,T,3,4,at_home,services,course,father,1,3,0,no,yes
320,GP,1,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,no,yes
321,GP,1,17,U,GT3,A,4,3,services,services,,mother,1,2,0,no,yes
322,GP,1,17,U,,T,2,2,other,other,,mother,1,2,0,no,yes
323,GP,1,17,R,,T,2,2,services,services,,mother,1,3,0,no,yes
324,GP,1,17,U,GT3,T,3,1,services,services,,father,1,3,0,no,yes
325,GP,1,17,U,LE3,T,0,2,at_home,at_home,,father,2,3,0,no,no
326,GP,M,18,U,GT3,T,4,4,other,other,,mother,1,3,0,no,no
327,GP,M,17,U,GT3,T,3,3,other,services,,mother,1,1,0,no,no
328,GP,M,17,R,,T,2,2,services,other,,mother,4,1,0,no,yes
329,GP,1,17,U,,T,4,4,teacher,services,,mother,1,3,0,no,yes
330,GP,1,17,U,GT3,T,4,4,teacher,teacher,,mother,2,3,0,no,yes
331,GP,M,18,U,,T,2,2,other,other,,mother,1,4,0,no,yes
332,GP,1,17,R,,T,2,4,at_home,other,,father,1,3,0,no,yes
333,GP,1,18,U,,T,3,3,services,services,,mother,1,2,0,no,no
334,GP,1,18,U,LE3,T,2,2,other,other,,other,1,2,0,no,no
335,GP,1,18,R,,T,2,2,at_home,other,course,mother,2,4,0,no,no
336,GP,1,17,U,GT3,T,3,4,services,other,,mother,1,3,0,no,no
337,GP,1,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,no,no
338,GP,1,17,U,,T,3,2,other,other,,mother,1,2,0,no,yes
339,GP,1,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes
340,GP,1,17,R,,A,3,2,other,other,home,mother,1,2,0,no,yes
341,GP,1,19,U,,T,2,1,services,services,,other,1,3,1,no,no
342,GP,M,18,U,,T,4,4,teacher,services,home,father,1,2,1,no,yes
343,GP,M,18,U,LE3,T,3,4,services,other,,mother,1,2,0,no,no
344,GP,1,17,U,GT3,A,2,2,at_home,at_home,,father,1,2,1,no,yes
345,GP,1,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,yes
346,GP,1,18,U,,T,3,2,other,services,,mother,1,3,0,no,no
347,GP,M,18,R,,T,4,3,teacher,services,,mother,1,3,0,no,no
348,GP,M,18,U,GT3,T,4,3,teacher,other,,mother,1,3,0,no,yes
349,GP,1,17,U,,T,4,3,health,other,,mother,1,3,0,no,yes
350,MS,M,18,R,GT3,T,3,2,other,other,,mother,2,1,1,no,yes
351,MS,M,19,R,GT3,T,1,1,other,services,,other,3,2,3,no,no
352,MS,M,17,U,GT3,T,3,3,health,other,,mother,2,2,0,no,yes
353,MS,M,18,U,,T,1,3,at_home,services,,mother,1,1,1,no,no
354,MS,M,19,R,,T,1,1,other,other,,other,3,1,1,no,yes
355,MS,M,17,R,GT3,T,4,3,services,other,,mother,2,2,0,no,yes
356,MS,1,18,U,GT3,T,3,3,services,services,,father,1,2,0,no,yes
357,MS,1,17,R,,T,4,4,teacher,services,,father,2,2,0,no,yes
