id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above
8091400200,20140516T000000,252700.0,,1.5,1070,9643,1.0,0,0,3,7,1070
3814700200,20141120T000000,329000.0,,2.25,2450,6500,,0,0,4,8,2450
1202000200,20141103T000000,233000.0,,2.0,1710,4697,1.5,0,0,5,6,1710
1794500383,20140626T000000,937000.0,,,2450,2691,2.0,0,0,3,8,1750
3303700376,20141201T000000,667000.0,,1.0,1400,1581,1.5,0,0,5,8,1400
5101402488,20140624T000000,438000.0,3.0,1.75,1520,6380,1.0,0,0,3,7,790
1873100390,20150302T000000,719000.0,4.0,2.5,2570,7173,,0,0,3,8,2570
8562750320,20141110T000000,580500.0,3.0,2.5,2320,3980,2.0,0,0,3,8,2320
2426039314,20141201T000000,280000.0,,,1190,1265,3.0,0,0,3,7,1190
461000390,20140624T000000,687500.0,4.0,1.75,2330,5000,,0,0,4,7,1510
7589200193,20141110T000000,535000.0,3.0,,1090,3000,1.5,0,0,4,8,1090
7955080270,20141203T000000,322500.0,4.0,,2060,6659,1.0,0,0,3,7,1280
9547205180,20140613T000000,696000.0,3.0,,2300,3060,1.5,0,0,3,8,1510
9435300030,20140528T000000,550000.0,,1.0,1660,34848,1.0,0,0,1,5,930
2768000400,20141230T000000,640000.0,,2.0,2360,6000,2.0,0,0,4,8,2360
7895500070,20150213T000000,240000.0,,1.0,1220,8075,,0,0,2,7,890
2078500320,20140620T000000,605000.0,4.0,2.5,2620,7553,,0,0,3,8,2620
5547700270,20140715T000000,625000.0,4.0,2.5,2570,5520,2.0,0,0,3,9,2570
7766200013,20140811T000000,775000.0,4.0,2.25,4220,24186,1.0,0,0,3,8,2600
7203220400,20140707T000000,861990.0,,,3595,5639,,0,0,3,9,3595
9270200160,20141028T000000,685000.0,3.0,,1570,2280,2.0,0,0,3,7,1570
1432701230,20140729T000000,309000.0,3.0,1.0,1280,9656,1.0,0,0,4,6,920
8035350320,20140718T000000,488000.0,3.0,,3160,13603,2.0,0,0,3,8,3160
8945200830,20150325T000000,210490.0,3.0,1.0,990,8528,1.0,0,0,3,6,990
4178300310,20140716T000000,785000.0,4.0,2.5,2290,13416,2.0,0,0,4,9,2290
9215400105,20150428T000000,450000.0,3.0,1.75,1250,5963,1.0,0,0,4,7,1250
822039084,20150311T000000,1350000.0,3.0,2.5,2753,65005,1.0,?,2,5,9,2165
5245600105,20140916T000000,228000.0,3.0,1.0,1190,9199,1.0,0,0,3,7,1190
7231300125,20150217T000000,345000.0,5.0,2.5,3150,9134,1.0,0,0,4,8,1640
7518505990,20141231T000000,600000.0,3.0,1.75,1410,4080,,?,0,4,7,1000
3626039271,20150205T000000,585000.0,2.0,1.75,1980,8550,,0,0,3,7,990
4217401195,20150303T000000,920000.0,,,2730,6000,1.5,0,0,3,8,2130
9822700295,20140512T000000,885000.0,4.0,,2830,5000,2.0,0,0,3,9,2830
9478500640,20140819T000000,292500.0,4.0,2.5,2250,4495,2.0,0,0,3,7,2250
2799800710,20150407T000000,301000.0,3.0,2.5,2420,4750,,0,0,3,8,2420
7922800400,20140827T000000,951000.0,,,3250,14342,,0,4,4,8,3250
8079040320,20150223T000000,430000.0,4.0,,1850,9976,2.0,0,0,3,8,1850
1516000055,20141210T000000,650000.0,3.0,,2150,21235,1.0,0,3,4,8,1590
9558200045,20140828T000000,289000.0,3.0,1.75,1260,8400,1.0,0,0,3,7,1260
5072410070,20141021T000000,505000.0,,1.75,2519,8690,2.0,0,0,5,8,2519
9528102996,20141207T000000,549000.0,3.0,1.75,1540,1044,3.0,0,0,3,8,1540
1189001180,20140603T000000,425000.0,,2.25,1660,6000,1.0,0,0,3,7,1110
3253500160,20141120T000000,317625.0,3.0,2.75,2770,3809,1.5,0,0,5,7,1770
3394100030,20140909T000000,975000.0,,2.5,2720,11049,2.0,0,0,3,10,2720
3717000160,20141009T000000,287000.0,4.0,2.5,2240,4648,2.0,0,0,3,7,2240
1274500060,20140825T000000,204000.0,3.0,,1000,12070,1.0,0,0,4,7,1000
1802000060,20140612T000000,1325000.0,5.0,,3200,20158,1.0,0,0,3,8,1600
1525059190,20140912T000000,1040000.0,,3.25,4770,50094,1.0,0,0,4,11,3070
1049000060,20150105T000000,325000.0,3.0,2.0,1260,5612,,0,0,4,7,1260
8820901275,20140610T000000,571000.0,4.0,2.0,2750,7807,1.5,0,0,5,7,2250
5416510140,20140710T000000,360000.0,4.0,,2380,5000,2.0,0,0,3,8,2380
3444100400,20150316T000000,349000.0,3.0,1.75,1790,50529,,0,0,5,7,1090
3276920270,20141105T000000,832500.0,4.0,4.0,3430,35102,,0,0,4,10,2390
4036801170,20141013T000000,380000.0,,,1760,7300,1.0,0,0,3,7,880
2391600320,20150420T000000,480000.0,3.0,1.0,1040,5060,,0,0,3,7,1040
6300000287,20140609T000000,410000.0,3.0,1.0,1410,5060,,0,0,4,7,910
1531000030,20150323T000000,720000.0,4.0,2.5,3450,39683,2.0,0,0,3,10,3450
5104520400,20141202T000000,390000.0,3.0,2.5,2350,5100,,0,0,3,8,2350
7437100340,20141222T000000,360000.0,4.0,2.5,1900,5889,2.0,0,0,3,7,1900
9418400240,20141028T000000,355000.0,,1.0,2020,6720,1.0,0,0,3,7,1010
1523059105,20150128T000000,356000.0,3.0,1.5,1680,8712,1.0,0,0,3,8,1680
1133000671,20140602T000000,315000.0,,,960,6634,,0,0,3,6,960
4232902595,20141114T000000,940000.0,,,2140,3600,,0,0,3,9,1900
2599001200,20141103T000000,305000.0,5.0,2.25,2660,8400,,0,0,5,7,2660
3342103156,20140618T000000,461000.0,,3.25,2770,6278,,0,0,3,9,1980
1332700270,20140519T000000,215000.0,2.0,,1610,2040,,0,0,4,7,1610
3869900162,20140904T000000,335000.0,2.0,1.75,1030,1066,2.0,0,0,3,7,765
2791500270,20140522T000000,243500.0,4.0,2.5,1980,7403,,0,0,3,7,1980
5036300431,20150311T000000,1099880.0,5.0,2.75,3520,6353,2.0,0,0,4,10,3520
4168000060,20150226T000000,153000.0,3.0,1.0,1200,10500,1.0,0,0,3,7,1200
6021501535,20140725T000000,430000.0,3.0,1.5,1580,5000,,0,0,3,8,1290
6021501535,20141223T000000,700000.0,,1.5,1580,5000,1.0,0,0,3,8,1290
1483300570,20140908T000000,905000.0,4.0,2.5,3300,10250,1.0,0,0,3,7,2390
3422049190,20150330T000000,247500.0,3.0,1.75,1960,15681,1.0,0,0,3,7,1960
1099611230,20140912T000000,199000.0,,1.5,1160,6400,1.0,0,0,4,7,1160
722079104,20140711T000000,314000.0,3.0,1.75,1810,41800,1.0,0,0,5,7,1210
7338200240,20140516T000000,437500.0,3.0,2.5,2320,36847,2.0,0,2,3,9,2320
1952200240,20140611T000000,850830.0,3.0,2.5,2070,13241,1.5,0,0,5,9,1270
5200100125,20141027T000000,555000.0,,,1980,3478,1.5,0,0,4,7,1440
7214720075,20141212T000000,699950.0,,2.25,2190,107593,2.0,0,0,4,8,2190
2450000295,20141007T000000,1088000.0,3.0,2.5,2920,8113,2.0,0,0,3,8,2920
6197800045,20140924T000000,290000.0,3.0,1.0,1210,33919,,0,0,3,7,1210
1328310370,20150402T000000,375000.0,,2.5,2340,10005,1.0,0,0,4,8,1460
546000875,20140523T000000,460000.0,,1.0,1670,4005,,0,0,4,7,1170
3530510041,20140723T000000,188500.0,,1.75,1240,2493,1.0,0,0,4,8,1240
1853000400,20150305T000000,680000.0,4.0,2.5,3140,28037,2.0,0,0,4,10,3140
3134100116,20140827T000000,470000.0,5.0,1.75,2030,12342,2.0,0,0,4,7,2030
9545230140,20140725T000000,597750.0,4.0,2.5,2310,9624,2.0,0,0,3,8,2310
3362400511,20150304T000000,570000.0,3.0,1.75,1260,3328,1.0,0,0,5,6,700
2525310310,20140916T000000,272500.0,,1.75,1540,12600,,0,0,4,7,1160
6126500060,20141124T000000,329950.0,3.0,,2080,5969,,0,2,3,7,1080
8961960160,20141028T000000,480000.0,,2.5,3230,16171,2.0,0,3,3,9,2520
3626039325,20141121T000000,740500.0,,3.5,4380,6350,,0,0,3,8,2780
3362400431,20140626T000000,518500.0,,3.5,1590,1102,3.0,0,0,3,8,1590
4060000240,20140623T000000,205425.0,2.0,1.0,880,6780,1.0,0,0,4,6,880
3454800060,20150108T000000,171800.0,4.0,2.0,1570,9600,1.0,0,0,3,6,1570
1695900060,20150511T000000,535000.0,,1.0,1610,2982,1.5,0,0,4,7,1610
7278700070,20150102T000000,660000.0,3.0,2.5,2400,6474,1.0,0,2,3,8,1560
6675500070,20141119T000000,391500.0,,,1450,9132,,0,0,3,7,1450
3626039187,20150406T000000,395000.0,,,770,6000,1.0,0,0,3,6,770
3524049083,20141104T000000,445000.0,4.0,,2100,4400,1.5,0,0,5,7,1720
3275860240,20140618T000000,770000.0,3.0,2.25,2910,10204,2.0,0,0,3,9,2910
4389200955,20150302T000000,1450000.0,4.0,,2750,17789,1.5,0,0,3,8,1980
4058801670,20140717T000000,445000.0,,2.25,2100,8201,,0,2,3,8,1620
8732020310,20140717T000000,260000.0,4.0,2.25,2160,8811,1.0,0,0,3,8,1360
2331300505,20140613T000000,822500.0,,3.5,2320,4960,2.0,0,0,5,7,1720
7853210060,20150406T000000,430000.0,,2.5,2070,4310,,0,0,3,7,2070
3668000070,20150105T000000,212000.0,3.0,,1060,7875,,0,0,4,7,1060
9545240070,20150428T000000,660500.0,4.0,,2010,9603,1.0,0,0,3,8,1440
1243100136,20140612T000000,784000.0,3.0,3.5,3950,111078,1.5,0,0,3,9,2460
8929000270,20140512T000000,453246.0,,2.5,2010,2287,2.0,0,0,3,8,1390
2767602356,20150126T000000,675000.0,4.0,3.5,2140,2278,,0,0,3,9,2140
921049315,20140813T000000,199000.0,,1.75,1320,17390,1.0,0,0,4,7,1320
3655000070,20140805T000000,220000.0,,,2020,7840,1.0,?,0,3,7,1010
4027700812,20140529T000000,452000.0,,2.25,2590,10002,1.0,0,0,4,8,1340
3992700335,20140707T000000,382500.0,,1.0,1190,4440,,0,0,3,6,1190
2767603505,20140507T000000,519950.0,3.0,2.25,1170,1249,3.0,0,0,3,8,1170
4232901525,20140627T000000,665000.0,2.0,1.0,1110,3200,1.0,0,0,3,7,1110
1777500060,20140708T000000,527700.0,5.0,2.5,2820,9375,1.0,0,0,4,8,1550
1432900240,20150508T000000,205000.0,,,1610,8579,1.0,0,0,4,7,1010
6140100875,20150415T000000,420000.0,3.0,,1060,8097,,0,0,4,7,940
6071600370,20150227T000000,500000.0,4.0,,2030,8517,1.0,0,0,4,8,1380
1526069017,20141203T000000,921500.0,4.0,,3670,315374,2.0,0,0,4,9,3670
809001525,20140625T000000,890000.0,4.0,,2550,4000,2.0,0,0,3,8,2370
3224079105,20140806T000000,430000.0,2.0,,2420,60984,2.0,0,0,3,7,2420
8075400570,20141030T000000,258000.0,5.0,2.0,2260,12500,1.0,0,0,4,8,1130
1994200024,20141104T000000,511000.0,,1.0,1430,3455,1.0,0,0,3,7,980
3362900810,20140820T000000,532170.0,3.0,,1360,3090,2.0,0,0,3,8,1360
1324300398,20150409T000000,560000.0,,,1110,5000,1.5,0,0,3,7,1110
537000445,20150331T000000,282950.0,3.0,,1250,8200,1.0,0,0,4,7,1250
7855801670,20150401T000000,2250000.0,,3.25,5180,19850,,0,3,3,12,3540
7920100045,20140516T000000,350000.0,1.0,1.0,700,5100,1.0,0,0,3,7,700
8960000030,20140728T000000,215000.0,3.0,1.0,1180,7669,,0,0,4,7,1180
6388930390,20141120T000000,650000.0,5.0,,3960,25245,2.0,0,0,3,9,2500
8731900200,20140807T000000,320000.0,,2.75,2640,7500,,0,0,3,8,1620
8029200135,20141113T000000,247000.0,3.0,2.0,1270,7198,1.5,0,0,3,7,1270
1081200350,20141003T000000,320000.0,4.0,,1760,11180,1.0,?,0,4,8,1760
84000105,20140507T000000,255000.0,5.0,,2060,8632,,0,0,3,7,1030
3756500060,20150309T000000,438000.0,3.0,1.75,1780,9660,1.0,0,0,3,7,1780
7215720160,20150304T000000,900000.0,3.0,,3400,16603,2.0,0,0,3,10,3400
3574800520,20140620T000000,441000.0,3.0,2.75,1910,7280,1.0,0,0,3,7,1160
2617300160,20140812T000000,420000.0,3.0,2.0,2020,38332,1.0,0,0,4,7,1010
2558660270,20141208T000000,370000.0,3.0,1.75,1580,7000,1.0,0,0,3,7,1180
2009000370,20150219T000000,269950.0,,1.75,1340,7250,,0,0,5,5,700
1836980160,20150324T000000,807100.0,4.0,,2680,4499,2.0,0,0,3,9,2680
3261020370,20140605T000000,653000.0,3.0,2.5,2680,9750,1.0,0,0,4,8,1610
1755700060,20140611T000000,371500.0,3.0,2.0,1370,8336,1.0,0,0,5,7,1370
4330600435,20150316T000000,284000.0,3.0,,1560,21000,1.0,0,0,3,7,1560
9542800700,20150102T000000,272000.0,,1.75,2160,7140,1.0,0,0,4,7,1670
1999700045,20140502T000000,313000.0,,1.5,1340,7912,1.5,0,0,3,7,1340
1762600070,20150116T000000,917500.0,,2.5,3880,35003,2.0,0,0,3,10,2570
1687900520,20140929T000000,673000.0,4.0,,2590,8190,2.0,0,0,4,8,2590
7234600798,20150210T000000,425000.0,3.0,2.5,1120,1100,2.0,0,0,3,8,820
3881900445,20140709T000000,399950.0,,2.75,1970,5400,1.0,0,0,3,7,1320
2254502445,20140530T000000,385000.0,,1.0,1220,4800,1.0,0,0,3,6,1220
5437810320,20141117T000000,269950.0,3.0,,1950,7560,1.0,0,2,4,7,1320
9158100075,20150107T000000,330000.0,,,1350,8220,,0,0,3,7,1060
3830630310,20140725T000000,260000.0,3.0,2.5,1670,5797,2.0,0,0,3,7,1670
8123100045,20150414T000000,470000.0,4.0,3.0,2380,5125,1.5,0,0,4,7,1680
3127200041,20140613T000000,589000.0,4.0,,2440,9600,2.0,0,0,5,7,2440
6661200320,20140723T000000,163500.0,2.0,1.5,1050,3419,2.0,0,0,3,7,1050
11510310,20140905T000000,835000.0,4.0,2.75,3130,13412,,0,0,3,9,2140
825059270,20141121T000000,1095000.0,5.0,3.0,4090,12850,1.0,0,2,4,10,2090
8731951370,20150415T000000,269000.0,4.0,,1490,10000,1.0,0,0,4,8,1100
1954440060,20140505T000000,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,8,1900
2264500350,20150418T000000,615000.0,,1.0,1330,2400,,0,0,4,6,1330
1115810060,20141205T000000,585188.0,,2.25,2230,10026,1.0,0,0,3,8,1430
9477200200,20140818T000000,305000.0,3.0,1.75,1650,9480,1.0,0,0,3,7,1220
1432600560,20141105T000000,166950.0,3.0,1.0,1190,8820,1.0,0,0,3,6,1190
2287000060,20140912T000000,799000.0,3.0,2.5,2140,9897,1.0,0,0,4,8,2140
3663500060,20140625T000000,400000.0,3.0,2.5,2180,7508,1.0,0,0,4,7,1420
3996900125,20141201T000000,230000.0,3.0,,1060,10228,,0,0,3,7,1060
7796450200,20140515T000000,256883.0,,2.5,1690,5025,,0,0,3,8,1690
7549802535,20141111T000000,423000.0,4.0,2.0,1970,6480,,0,0,5,7,1130
3278600320,20140723T000000,465000.0,3.0,2.5,2150,4084,2.0,0,0,3,8,2150
2824079053,20150113T000000,440000.0,3.0,,1910,66211,2.0,0,0,3,7,1910
1222069094,20141014T000000,385000.0,3.0,1.75,1350,155073,1.0,0,0,4,7,1350
3542300060,20150311T000000,210000.0,3.0,1.0,860,11725,1.0,0,0,4,6,860
2222059065,20141112T000000,297000.0,,2.5,1940,14952,2.0,0,0,3,8,1940
7551300060,20140716T000000,470000.0,3.0,,1010,5000,1.0,0,0,3,7,1010
100600550,20140804T000000,226500.0,3.0,1.5,1300,7370,1.0,0,0,4,7,900
3211100860,20150303T000000,274250.0,3.0,,910,8450,1.0,0,0,4,6,910
3456000310,20140804T000000,840000.0,4.0,,2480,11010,1.0,0,0,4,9,1630
9526600140,20140919T000000,677900.0,3.0,2.5,2440,4587,2.0,0,0,3,8,2440
7465900060,20150205T000000,425000.0,,1.0,1010,5864,1.0,0,0,3,7,1010
1222000055,20141123T000000,180250.0,2.0,0.75,900,9600,,0,0,3,6,900
6300000550,20140717T000000,464000.0,6.0,3.0,2300,3404,,0,0,3,7,1600
2310030510,20150422T000000,320000.0,4.0,2.25,1550,7579,2.0,0,0,3,8,1550
1025049114,20140717T000000,625504.0,3.0,2.25,1270,1566,2.0,0,0,3,8,1060
8677300550,20140515T000000,592500.0,4.0,2.5,2240,12032,,0,0,3,9,2240
4014400292,20150114T000000,465000.0,3.0,,2714,17936,,0,0,3,9,2714
1102000196,20140527T000000,477000.0,,2.75,1720,6270,2.0,?,0,3,8,1720
257000138,20150115T000000,280000.0,2.0,,850,16400,1.0,0,0,3,6,850
46100204,20150221T000000,1505000.0,5.0,3.0,3300,33474,,0,3,3,9,1870
1909600046,20140703T000000,445838.0,,2.5,2250,5692,2.0,0,0,3,8,2250
1250202145,20140828T000000,1072000.0,2.0,,3900,14864,1.0,0,3,3,8,1950
7611200125,20141023T000000,467000.0,2.0,1.5,1320,10800,1.0,0,0,4,8,1320
5611500140,20140822T000000,686000.0,4.0,2.5,2760,6440,2.0,0,0,3,10,2760
7138000260,20140605T000000,279950.0,3.0,2.0,1750,9750,1.0,0,0,3,7,1350
626059335,20140904T000000,527000.0,4.0,,2330,19436,2.0,0,0,3,8,2330
1922059282,20140918T000000,325000.0,3.0,2.25,2220,16020,1.0,0,0,4,8,1780
705700390,20140903T000000,328000.0,3.0,2.25,2020,8379,2.0,0,0,3,7,2020
7454001200,20140604T000000,390000.0,,,1250,7500,1.0,0,0,5,7,1250
8682281200,20150309T000000,479950.0,2.0,,1510,6516,,0,0,3,8,1510
7972000200,20140529T000000,264950.0,4.0,2.25,1720,9753,1.0,0,0,4,7,1120
722059070,20150115T000000,235000.0,3.0,,1430,15246,1.0,0,0,4,7,980
7202340400,20150303T000000,516500.0,3.0,2.5,1480,4729,2.0,0,0,3,7,1480
8096000060,20150413T000000,655000.0,2.0,1.75,1450,15798,2.0,1,4,3,7,1230
2424000060,20140616T000000,500000.0,4.0,2.75,2280,15347,1.0,0,0,5,7,2280
9264902050,20141121T000000,315000.0,6.0,2.75,2940,7350,1.0,0,0,3,8,1780
943100260,20141120T000000,213000.0,2.0,,1000,10200,,0,0,3,6,1000
3677400445,20140902T000000,475000.0,3.0,,2480,5280,1.5,0,0,5,7,1620
1762600320,20140610T000000,1025000.0,5.0,4.0,3760,28040,2.0,0,0,3,10,3760
4058000060,20150409T000000,416000.0,3.0,2.0,2220,94300,1.0,0,0,5,7,1640
7228500560,20150320T000000,410000.0,4.0,1.0,1970,4740,1.5,0,0,3,7,1670
326069104,20140701T000000,800000.0,3.0,3.5,3830,221284,2.0,0,0,3,10,3530
5152100060,20140529T000000,472000.0,,,4410,14034,1.0,0,2,4,9,2350
3584000310,20141208T000000,225000.0,3.0,1.75,1430,8505,1.0,0,0,4,7,1430
8150100045,20141001T000000,210000.0,2.0,,830,6000,,0,0,3,6,830
1868901275,20150127T000000,455000.0,2.0,1.0,1430,5000,,0,0,2,7,1430
6131600075,20150427T000000,225000.0,3.0,,1300,8316,1.0,0,0,4,6,1300
9468200125,20140826T000000,480000.0,2.0,1.0,1030,3060,1.0,0,2,4,7,790
8029510030,20150212T000000,363000.0,,2.5,2740,11872,2.0,0,0,3,9,2740
2025069065,20140929T000000,2400000.0,4.0,2.5,3650,8354,1.0,1,4,3,9,1830
7899800890,20150226T000000,181000.0,2.0,1.5,720,5120,1.0,0,0,3,6,720
3021059276,20150314T000000,250000.0,,,2010,7312,,0,0,4,7,2010
3797001895,20150422T000000,481000.0,,,1560,3000,,0,0,4,6,770
3832710960,20140923T000000,260000.0,3.0,,1810,7209,1.0,0,0,4,7,1240
1310430400,20140513T000000,455000.0,4.0,,3360,7685,2.0,0,0,3,9,3360
1422300030,20150401T000000,415000.0,3.0,2.25,1510,36224,,0,0,3,8,1510
1105000588,20150421T000000,349500.0,3.0,1.0,1400,3538,1.0,0,0,3,7,800
3830630060,20140929T000000,245000.0,3.0,2.5,1730,7442,2.0,?,0,3,7,1730
5101404898,20140519T000000,592500.0,,2.0,1420,9191,1.5,0,2,5,7,1420
7972601890,20141020T000000,385000.0,4.0,1.75,2360,7620,1.0,0,0,4,7,1180
5127001620,20150211T000000,315000.0,3.0,1.75,1580,11455,1.0,0,0,4,7,1200
9407100800,20141124T000000,255000.0,,1.0,1230,10170,,0,0,3,7,1230
1873100060,20140829T000000,693000.0,,2.5,2460,4425,2.0,0,0,3,8,2460
8722101360,20141202T000000,780000.0,3.0,1.0,1660,4400,1.5,0,0,3,8,1460
8644000060,20141024T000000,237000.0,3.0,1.75,1270,8470,1.0,0,0,4,7,1270
3325069129,20141216T000000,525000.0,3.0,2.25,2100,40510,2.0,0,0,3,10,1320
1400300055,20150428T000000,425000.0,2.0,1.0,770,5040,1.0,0,0,3,5,770
2123039032,20141027T000000,369900.0,1.0,,760,10079,,1,4,5,5,760
8078560140,20140519T000000,290000.0,4.0,2.5,1700,7280,2.0,0,0,4,7,1700
3438500192,20140929T000000,285000.0,,,1120,10701,1.0,0,0,3,7,1120
7974200510,20140814T000000,415000.0,2.0,,1070,4500,,0,0,3,7,1070
2557000400,20150409T000000,272500.0,3.0,,2070,9900,1.0,0,0,3,8,1420
7960900060,20150504T000000,2900000.0,,3.25,5050,20100,,0,2,3,11,4750
4054500390,20141007T000000,1365000.0,4.0,4.75,5310,57346,2.0,0,0,4,11,5310
6378500125,20150501T000000,436000.0,,,1040,7538,1.0,0,0,4,7,1040
1745100140,20141017T000000,210000.0,3.0,1.0,1700,11390,1.0,0,0,4,7,1700
2976800796,20140925T000000,236000.0,3.0,1.0,1300,5898,1.0,0,0,3,7,1300
4235400186,20141124T000000,331000.0,3.0,1.75,1080,1306,1.0,0,0,3,7,580
4215100060,20150320T000000,365000.0,3.0,,2653,4510,2.0,0,0,3,8,2653
9189700045,20150127T000000,450000.0,3.0,2.0,2290,16258,1.0,0,0,5,8,2290
1126049053,20141113T000000,770000.0,4.0,2.75,3820,26300,,0,0,3,9,2850
2022069200,20150505T000000,455000.0,,2.5,2210,49375,1.0,0,0,3,8,2210
9412900055,20150505T000000,405000.0,3.0,,2390,6000,1.0,0,0,3,6,1240
1722059235,20140703T000000,304900.0,4.0,,2600,11325,1.0,0,0,4,7,1610
6874200960,20150227T000000,170000.0,,,860,5265,1.0,0,0,3,6,860
7424700045,20150513T000000,2050000.0,5.0,,3830,8480,,0,1,5,9,2630
7202360350,20140630T000000,780000.0,,2.5,3500,7048,2.0,0,0,3,9,3500
5634500392,20150410T000000,330000.0,3.0,3.0,2420,13959,1.0,0,0,4,8,1740
1509500060,20140905T000000,370000.0,4.0,,2720,8666,2.0,0,0,3,9,2720
7214810350,20141017T000000,467000.0,5.0,2.25,2500,13500,1.0,0,0,3,7,1850
6647200060,20150209T000000,405000.0,3.0,1.75,1670,6720,1.0,0,0,3,7,1140
9552700140,20140702T000000,675000.0,5.0,2.25,2900,10300,1.0,0,0,3,8,1450
2200500350,20140812T000000,500000.0,2.0,1.0,1640,14100,1.0,0,0,4,7,1140
6113400046,20140723T000000,389999.0,4.0,2.5,1890,15770,2.0,0,0,4,7,1890
6619910140,20150224T000000,630000.0,,,2950,9025,1.0,0,2,4,8,1780
1115450240,20141022T000000,360000.0,,2.5,2160,9528,2.0,0,0,3,9,2160
6073240060,20141002T000000,580000.0,4.0,,3280,11060,,0,0,3,8,2270
9297300045,20140709T000000,550000.0,3.0,,1970,4166,2.0,0,3,5,8,1270
9510920070,20140710T000000,879000.0,,2.5,3360,22111,,0,0,3,10,3360
5468730030,20140822T000000,265000.0,3.0,2.0,1320,8959,1.0,0,0,3,7,1320
8079030390,20150304T000000,446500.0,3.0,2.5,2650,7286,2.0,?,0,3,8,2650
600000152,20140602T000000,404000.0,3.0,1.5,2030,8880,1.0,0,0,3,7,1330
1840000030,20140529T000000,267500.0,3.0,1.75,1590,11914,1.0,0,2,3,7,1090
3225069065,20140624T000000,3075000.0,,5.0,4550,18641,1.0,1,4,3,10,2600
3260800030,20140811T000000,335000.0,,,2440,7632,2.0,0,0,3,8,2440
2747100024,20140619T000000,576000.0,3.0,2.5,1940,9000,1.0,0,0,4,7,970
5104530560,20150401T000000,208633.0,,2.5,2040,3810,,0,0,3,8,2040
4330600350,20150115T000000,315000.0,3.0,,2200,8750,1.0,0,0,4,7,1120
5016001535,20150217T000000,725000.0,3.0,1.75,1920,3300,1.0,0,0,4,8,960
7280300196,20150403T000000,550000.0,4.0,,1800,7750,,0,0,4,8,1400
8651520400,20140612T000000,610750.0,,,2180,7297,2.0,0,0,3,8,2180
7171200445,20150228T000000,550700.0,2.0,1.0,1010,5000,,0,0,4,6,1010
3204800200,20150108T000000,665000.0,,2.75,3320,10574,2.0,0,0,5,8,2220
3416600800,20150209T000000,834000.0,4.0,2.5,2370,4000,1.5,0,2,5,8,1980
7994700030,20141023T000000,201000.0,5.0,,1660,78408,1.5,0,0,3,6,1660
1860600135,20140502T000000,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,10,3370
4139480200,20140618T000000,1384000.0,,3.25,4290,12103,1.0,0,3,3,11,2690
4139480200,20141209T000000,1400000.0,,3.25,4290,12103,,0,3,3,11,2690
1328320800,20141105T000000,305000.0,,2.25,1950,7700,,0,0,3,8,1350
7771300125,20150408T000000,487000.0,3.0,,2590,14052,1.0,0,0,5,8,1720
3422059208,20150511T000000,390000.0,3.0,2.5,1930,64904,1.0,0,0,4,8,1930
9521101455,20140723T000000,548000.0,2.0,1.0,1470,3864,1.0,0,0,4,7,1170
4337000335,20141122T000000,268750.0,4.0,1.0,800,8775,1.0,0,0,3,6,800
