id,Reviews,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
150,203130,0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device
151,1435,0,Everyone,Books & Reference,"January 21, 2018",1.0,4.0 and up
152,116507,0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up
153,1433233,0,Teen,Books & Reference,"August 3, 2018",Varies with device,Varies with device
154,90468,0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up
155,860,0,Everyone,Books & Reference,"July 17, 2018",1.0,4.0.3 and up
156,363934,0,Everyone,,"July 11, 2018",9.1.363,4.1 and up
157,967,0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up
158,87873,0,Teen,Books & Reference,"May 28, 2018",Varies with device,Varies with device
159,17506,0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up
160,1862,0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up
161,2084,0,Everyone,Books & Reference,"May 17, 2018",15.0,2.3 and up
162,47303,0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up
163,19080,0,Everyone,Books & Reference,"April 25, 2018",Varies with device,Varies with device
164,161,0,Everyone,Books & Reference,"July 13, 2018",1.0,2.3 and up
165,85842,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up
166,7831,0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up
167,91615,0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up
168,4620,0,Everyone,,"November 23, 2017",2.0,4.0.3 and up
169,21336,0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up
170,26875,0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up
171,1778,0,Mature 17+,Books & Reference,"October 16, 2014",1.0.3,2.1 and up
172,2709,0,Everyone,,"July 11, 2018",1.9,4.4 and up
173,64513,0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device
174,8342,0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up
175,527,0,Everyone,Books & Reference,"March 31, 2018",14.0,4.0 and up
176,1322,0,Everyone,,"May 28, 2018",6.0,4.0.3 and up
177,1680,0,Everyone,Books & Reference,"August 20, 2016",3.05,4.0.3 and up
178,2739,0,Everyone,Books & Reference,"July 17, 2018",2.0,3.0 and up
179,1065,0,Everyone,,"June 16, 2018",1.5,3.0 and up
180,233757,0,Everyone,Books & Reference,"May 1, 2018",Varies with device,Varies with device
181,2,0,Everyone,,"June 15, 2018",3.0,6.0 and up
182,8788,0,Everyone,,"July 28, 2018",2.5.3,4.0 and up
183,51269,0,Everyone,,"July 19, 2018",7.0.4.6,4.2 and up
184,30105,0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up
185,156,0,Everyone,,"February 15, 2018",3.1.7.9,2.2 and up
186,114,0,Everyone,Books & Reference,"August 7, 2015",1.1,5.1 and up
187,341157,0,Everyone 10+,Books & Reference,"March 20, 2018",3.9.1,4.2 and up
188,16129,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
189,674730,0,Everyone,Business,"May 21, 2018",Varies with device,Varies with device
190,1254730,0,Everyone,Business,"August 3, 2018",Varies with device,Varies with device
191,85185,0,Everyone,Business,"July 17, 2018",3.4.2,5.0 and up
192,32584,0,Everyone,,"May 4, 2018",Varies with device,Varies with device
193,217730,0,Everyone,,"April 2, 2018",Varies with device,Varies with device
194,70991,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up
195,1002861,0,Everyone,Business,"August 2, 2018",9.7.14188,4.1 and up
196,16589,0,Everyone,Business,"June 14, 2018",4.9.10,4.0.3 and up
197,148945,0,Everyone,,"July 19, 2018",5.2.8,5.0 and up
198,4458,0,Everyone,,"July 8, 2018",3.3,4.1 and up
199,62272,0,Everyone,,"June 26, 2018",3.550.2,4.1 and up
200,8941,0,Everyone,,"July 31, 2018",4.6.30,4.0.3 and up
201,46353,0,Everyone,,"April 13, 2016",2.8,1.5 and up
202,1279184,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
203,88073,0,Everyone,,"July 9, 2018",Varies with device,Varies with device
204,67000,0,Everyone,,"July 17, 2018",Varies with device,4.3 and up
205,159872,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device
206,30847,0,Everyone,Business,"February 8, 2018",7.3.21,4.1 and up
207,188841,0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up
208,11622,0,Everyone,Business,"July 26, 2018",Varies with device,Varies with device
209,95912,0,Everyone,,"July 30, 2018",Varies with device,Varies with device
210,4034,0,Everyone,Business,"September 11, 2015",3.0.1.11 (Build 311),2.2 and up
211,45964,0,Everyone,Business,"July 18, 2018",5.1.5,4.1 and up
212,14955,0,Everyone,,"July 30, 2018",Varies with device,Varies with device
213,6903,0,Everyone,Business,"July 10, 2018",2.3.6,4.1 and up
214,31614,0,Everyone,,"July 20, 2018",4.1.28165.0716,4.0 and up
215,23055,0,Everyone,,"June 8, 2018",Varies with device,Varies with device
216,19023,0,Everyone,Business,"August 1, 2018",99.0.0.35.75,4.1 and up
217,207372,0,Everyone,Business,"August 2, 2018",12.2.4,4.0 and up
218,1225,0,Everyone,Business,"August 1, 2018",1.0.6.8,4.1 and up
219,380837,0,Everyone,Business,"July 4, 2018",3.4.5,4.2 and up
220,10600,0,Everyone,Business,"August 1, 2018",2.5.6,4.0 and up
221,74359,0,Everyone,Business,"July 27, 2018",1.12.5,4.0 and up
222,822,0,Everyone,Business,"June 8, 2018",1.5,4.0.3 and up
223,80805,0,Everyone,Business,"February 26, 2018",Varies with device,4.0.3 and up
224,2287,0,Everyone,Business,"March 26, 2018",4.9,2.2 and up
225,4162,0,Everyone,Business,"July 24, 2018",0.9.4,4.0.3 and up
226,14760,0,Everyone,,"January 31, 2018",1.1.07.6,7.0 and up
227,23243,0,Everyone,Business,"June 25, 2018",Varies with device,Varies with device
228,9,0,Everyone,,"April 9, 2018",1.0.5,6.0 and up
229,8978,0,Everyone,,"July 25, 2018",Varies with device,Varies with device
230,80805,0,Everyone,,"February 26, 2018",Varies with device,4.0.3 and up
231,42492,0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device
232,286897,0,Everyone,,"May 30, 2017",1.2.6,3.0 and up
233,103755,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up
234,46505,0,Everyone,,"August 2, 2018",3.4.49,4.1 and up
235,11442,$4.99,Everyone,,"March 25, 2018",1.5.2,4.0 and up
236,10295,$4.99,Everyone,Business,"April 11, 2017",3.4.6,3.0 and up
237,159872,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device
238,296,0,Everyone,Business,"June 15, 2018",3.2.1,4.1 and up
239,29313,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up
240,70991,0,Everyone,,"July 24, 2018",2.19.0.204537701,4.4 and up
241,51507,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
242,1802,0,Everyone,,"April 18, 2018",1.7.14,4.2 and up
243,1383,0,Everyone,Business,"July 12, 2018",3.24.1,5.0 and up
244,23175,0,Everyone,Business,"July 13, 2018",18.7,4.1 and up
245,5868,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
246,2111,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
247,5448,0,Everyone,,"July 25, 2018",4.9.1,5.0 and up
248,4159,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up
249,20815,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up
250,78662,0,Everyone,Business,"February 13, 2018",3.7.5,4.4 and up
251,7149,0,Everyone,,"July 31, 2018",2.6.158,4.0 and up
252,3079,0,Everyone,,"August 2, 2018",5.20.7,4.1 and up
253,5800,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
254,6989,0,Everyone,Business,"July 16, 2018",4.3.0.508,4.4 and up
255,16422,0,Everyone,,"August 1, 2018",10.46.2,4.1 and up
256,108741,0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up
257,31614,0,Everyone,Business,"July 20, 2018",4.1.28165.0716,4.0 and up
258,624,0,Everyone,Business,"March 22, 2018",1.2.287,5.0 and up
259,1661,0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up
260,97702,0,Everyone,,"July 11, 2018",Varies with device,Varies with device
261,308,0,Everyone,Business,"May 29, 2018",3.1.4.0,4.0.3 and up
262,6989,0,Everyone,,"July 16, 2018",4.3.0.508,4.4 and up
263,5211,0,Everyone,Business,"July 30, 2018",3.3.0,4.0 and up
264,1058,0,Everyone,Business,"June 29, 2018",2.22.397,5.0 and up
265,78172,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
266,159872,0,Everyone,,"July 31, 2018",Varies with device,Varies with device
267,296,0,Everyone,,"June 15, 2018",3.2.1,4.1 and up
268,29313,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up
269,70991,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up
270,51507,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
271,1802,0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up
272,1383,0,Everyone,Business,"July 12, 2018",3.24.1,5.0 and up
273,23175,0,Everyone,Business,"July 13, 2018",18.7,4.1 and up
274,5868,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
275,2111,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
276,5448,0,Everyone,Business,"July 25, 2018",4.9.1,5.0 and up
277,4159,0,Everyone,,"July 20, 2018",6.1.2,4.0.3 and up
278,20815,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up
279,78662,0,Everyone,,"February 13, 2018",3.7.5,4.4 and up
280,7149,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up
281,3079,0,Everyone,,"August 2, 2018",5.20.7,4.1 and up
282,5800,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
283,6989,0,Everyone,Business,"July 16, 2018",4.3.0.508,4.4 and up
284,16422,0,Everyone,Business,"August 1, 2018",10.46.2,4.1 and up
285,8978,0,Everyone,Business,"July 25, 2018",Varies with device,Varies with device
286,80804,0,Everyone,Business,"February 26, 2018",Varies with device,4.0.3 and up
287,42492,0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device
288,286897,0,Everyone,Business,"May 30, 2017",1.2.6,3.0 and up
289,103755,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up
290,46505,0,Everyone,Business,"August 2, 2018",3.4.49,4.1 and up
291,11442,$4.99,Everyone,Business,"March 25, 2018",1.5.2,4.0 and up
292,10295,$4.99,Everyone,,"April 11, 2017",3.4.6,3.0 and up
293,217730,0,Everyone,,"April 2, 2018",Varies with device,Varies with device
294,1002859,0,Everyone,,"August 2, 2018",9.7.14188,4.1 and up
295,51510,0,Everyone,,"August 2, 2018",Varies with device,Varies with device
296,413,0,Everyone,Business,"July 25, 2018",2.0.19,5.0 and up
297,23175,0,Everyone,Business,"July 13, 2018",18.7,4.1 and up
298,1013635,0,Teen,Comics,"July 31, 2018",Varies with device,Varies with device
299,24005,0,Adults only 18+,,"July 4, 2018",1.1.7.0,4.1 and up
300,57106,0,Teen,Comics,"July 23, 2018",2.11.3,4.1 and up
301,2249,0,Everyone,Comics,"November 16, 2017",1.08,4.0.3 and up
302,516,0,Everyone,Comics;Creativity,"August 3, 2018",1.0.6,4.4 and up
303,834,0,Mature 17+,Comics,"August 1, 2018",1.0.8,4.1 and up
304,1010,0,Mature 17+,Comics,"July 7, 2018",1.5,4.1 and up
305,238970,0,Teen,Comics,"July 9, 2018",3.4.3_world,5.0 and up
306,302,0,Teen,Comics,"July 3, 2018",1.0,4.0 and up
307,438,0,Everyone,Comics,"December 27, 2017",1.0,2.3 and up
308,73,0,Everyone,Comics,"July 23, 2018",1.9,4.0.3 and up
309,39,0,Everyone 10+,,"July 3, 2018",1.1,4.2 and up
310,144,0,Everyone,,"July 19, 2018",3.0,4.0.3 and up
311,2181,0,Teen,Comics,"March 5, 2018",1.2.12,4.0.3 and up
312,93965,0,Teen,Comics,"July 3, 2018",6.3.0,4.0.3 and up
313,1446,0,Mature 17+,Comics,"May 18, 2018",1.0,4.0.3 and up
314,12088,0,Mature 17+,Comics,"July 6, 2018",2.3.1,4.0.3 and up
315,314,0,Everyone,,"May 23, 2018",3.1.0,4.1 and up
316,25671,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device
317,15194,0,Teen,Comics,"July 19, 2018",4.7.3,4.2 and up
318,22551,0,Teen,Comics,"July 24, 2018",3.16.0,4.4 and up
319,29839,0,Teen,,"July 31, 2018",4.1.0,4.4 and up
320,279,0,Everyone,,"December 18, 2017",1.6,4.0 and up
321,564387,0,Everyone,,"July 5, 2018",Varies with device,Varies with device
322,1330,0,Everyone,Comics,"July 3, 2018",6.1.1,4.2 and up
323,1677,0,Everyone,,"May 26, 2018",1.7.7,4.1 and up
324,757,0,Teen,Comics,"May 24, 2018",1.0,4.1 and up
325,115,0,Mature 17+,,"July 13, 2018",5.0.12,5.0 and up
326,125,0,Teen,Comics,"July 24, 2018",1.0.4,4.0.3 and up
327,9952,0,Everyone 10+,Comics,"July 31, 2018",4.3.0,4.1 and up
328,18814,0,Mature 17+,Comics,"July 30, 2018",Varies with device,Varies with device
329,21,0,Everyone,,"March 31, 2018",1.3,4.0 and up
330,15,0,Everyone,Comics,"June 26, 2018",2.0,4.0.3 and up
331,51981,0,Everyone,Comics,"August 1, 2018",4.2.0.2,2.3 and up
332,3596,0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up
333,1006,0,Everyone,,"August 3, 2018",2.3.3,4.0.3 and up
334,5968,0,Everyone,Comics,"May 28, 2018",1.4,4.0 and up
335,4895,0,Everyone,Comics,"August 2, 2018",2.4.25,4.4 and up
336,56642847,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
337,69119316,0,Everyone,,"August 3, 2018",Varies with device,Varies with device
338,125257,0,Teen,Communication,"June 6, 2018",1.8.9,4.1 and up
339,9642995,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
340,1429035,0,Everyone,Communication,"July 25, 2018",37.0.0.7.163,2.3 and up
341,4604324,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
342,3419249,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device
343,11334799,0,Everyone,,"July 18, 2018",Varies with device,Varies with device
344,158679,0,Everyone,Communication,"August 3, 2018",2.4.1,4.4 and up
345,3075028,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device
346,4187998,0,Everyone,Communication,"July 18, 2018",5.29.3,4.4 and up
347,659395,0,Everyone,,"June 7, 2018",9.8.000000010492,4.0 and up
348,4785892,0,Everyone,Communication,"June 8, 2018",9.8.000000010501,4.0 and up
349,66602,0,Everyone,,"June 26, 2018",2.8.4.201036949,5.0 and up
350,30209,0,Everyone,Communication,"July 28, 2018",1.3.4,4.1 and up
351,36901,0,Everyone,Communication,"July 4, 2018",11.8.6,4.0.3 - 7.1.1
352,5149854,0,Everyone,,"July 19, 2018",Varies with device,Varies with device
353,192948,0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1
354,99559,0,Everyone,,"July 30, 2018",Varies with device,Varies with device
355,437674,0,Everyone,,"August 1, 2018",Varies with device,Varies with device
356,13698,0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up
357,2473509,0,Everyone,Communication,"July 31, 2018",47.1.2249.129326,Varies with device
358,20769,0,Everyone,,"July 11, 2018",R6.0.3,4.1 and up
359,36880,0,Everyone,,"July 6, 2018",5.2,5.0 and up
360,171031,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
361,63543,0,Everyone,,"August 2, 2018",69.0.3497.24,Varies with device
362,45487,0,Everyone,,"October 27, 2016",Varies with device,Varies with device
363,615381,0,Mature 17+,Communication,"August 2, 2018",6.7.9.1,4.0.3 and up
364,2451083,0,Teen,Communication,"August 3, 2018",Varies with device,Varies with device
365,33053,0,Everyone,Communication,"July 31, 2018",1.60.0.31354-release,4.0.3 and up
366,5387333,0,Everyone,,"July 31, 2018",Varies with device,Varies with device
367,3648120,0,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up
