id,X,Y,month,day,FFMC,DMC
327,5,4,sep,sat,92.2,102.3
328,6,5,sep,sat,92.2,102.3
329,6,5,sep,sat,92.2,102.3
330,4,3,sep,sat,92.2,102.3
331,3,3,sep,?,92.2,102.3
332,7,4,sep,sat,91.2,124.4
333,4,4,sep,?,91.2,124.4
334,1,4,sep,?,92.1,87.7
335,2,3,sep,?,91.6,
336,4,3,sep,mon,91.6,
337,7,4,sep,mon,91.6,108.4
338,6,3,sep,mon,91.6,108.4
339,8,6,sep,mon,91.6,108.4
340,2,4,sep,mon,91.6,
341,2,5,sep,mon,91.6,108.4
342,8,6,sep,mon,91.9,111.7
343,6,3,sep,?,91.5,
344,8,6,sep,mon,91.5,
345,6,3,sep,?,91.5,130.1
346,2,2,sep,?,91.5,130.1
347,1,4,sep,?,91.5,130.1
348,5,4,sep,?,92.1,99.0
349,3,4,sep,fri,92.1,99.0
350,5,4,sep,?,92.1,
351,5,4,sep,fri,92.1,99.0
352,4,4,sep,?,92.1,
353,7,4,sep,?,92.1,99.0
354,7,4,sep,fri,92.1,
355,7,4,sep,?,92.1,99.0
356,4,4,sep,fri,92.1,99.0
357,4,4,sep,?,92.1,99.0
358,6,3,sep,fri,92.5,
359,6,3,sep,?,92.5,
360,1,4,sep,fri,92.5,122.0
361,6,5,sep,?,92.5,122.0
362,4,3,sep,fri,92.5,122.0
363,7,4,sep,?,88.2,55.2
364,4,3,sep,tue,91.9,111.7
365,6,5,sep,?,91.9,111.7
366,6,5,sep,?,91.9,
367,4,5,sep,?,91.1,132.3
368,4,5,sep,tue,91.1,132.3
369,6,5,sep,sat,91.2,
370,4,5,sep,sun,91.0,276.3
371,7,4,sep,sun,91.0,276.3
372,3,4,jul,wed,91.9,133.6
373,4,5,aug,sun,92.0,203.2
374,5,4,aug,?,94.8,222.4
375,6,5,sep,?,90.3,
376,6,5,sep,sat,91.2,94.3
377,8,6,aug,mon,92.1,207.0
378,2,2,aug,?,93.7,231.1
379,6,5,mar,thu,90.9,18.9
380,4,5,jan,sun,18.7,1.1
381,5,4,jul,wed,93.7,
382,8,6,aug,thu,90.7,194.1
383,8,6,aug,?,95.2,217.7
384,9,6,aug,?,91.6,
385,8,4,aug,sat,91.6,
386,2,4,aug,?,91.6,181.3
387,3,4,sep,sun,90.5,96.7
388,5,5,mar,thu,90.9,18.9
389,6,4,aug,fri,94.8,227.0
390,7,4,aug,?,94.8,227.0
391,7,4,feb,?,84.7,9.5
392,8,6,sep,fri,91.1,91.3
393,1,3,sep,sun,91.0,276.3
394,2,4,mar,?,93.4,15.0
395,6,5,feb,?,84.1,4.6
396,4,5,feb,sun,85.0,9.0
397,4,3,sep,?,90.5,96.7
398,5,6,aug,?,91.6,181.3
399,1,2,aug,sat,93.7,231.1
400,9,5,jun,?,93.3,49.5
401,9,5,jun,wed,93.3,49.5
402,3,4,sep,thu,91.1,88.2
403,9,9,aug,fri,94.8,
404,8,6,aug,thu,90.7,194.1
405,2,4,sep,?,87.9,84.8
406,2,2,aug,tue,94.6,212.1
407,6,5,sep,?,87.1,291.3
408,4,5,feb,sat,84.7,8.2
409,4,3,sep,fri,90.3,290.0
410,1,4,jul,?,92.3,96.2
411,6,3,feb,fri,84.1,7.3
412,7,4,feb,?,84.6,3.2
413,9,4,jul,mon,92.3,
414,7,5,aug,sat,93.7,
415,5,4,aug,sun,93.6,235.1
416,8,6,aug,?,94.8,222.4
417,6,3,jul,?,92.7,164.1
418,6,5,mar,wed,93.4,17.3
419,2,4,aug,sun,92.0,203.2
420,2,5,aug,sun,91.6,181.3
421,8,8,aug,wed,91.7,191.4
422,2,4,aug,?,95.2,
423,8,6,jul,sun,88.9,263.1
424,1,3,sep,?,91.2,94.3
425,8,6,aug,sat,93.7,231.1
426,2,2,aug,?,91.6,248.4
427,8,6,aug,thu,91.6,248.4
428,2,4,aug,?,92.1,207.0
429,1,3,aug,?,94.8,222.4
430,3,4,aug,sun,91.6,181.3
431,7,4,sep,thu,89.7,287.2
432,1,3,aug,?,92.1,178.0
433,8,6,aug,thu,94.8,
434,2,4,aug,sun,93.6,235.1
435,1,4,aug,?,90.6,269.8
436,2,5,jul,?,90.8,84.7
437,8,6,aug,mon,92.1,207.0
438,8,6,aug,sat,89.4,253.6
439,2,5,aug,sat,93.7,231.1
440,1,3,sep,fri,91.1,91.3
441,5,4,sep,?,90.3,
442,8,6,aug,?,92.1,
443,6,5,apr,mon,87.9,24.9
444,1,2,jul,?,90.7,80.9
445,2,5,sep,fri,90.3,290.0
446,5,5,aug,?,94.0,
447,6,5,aug,sun,92.0,
448,3,4,mar,wed,93.4,17.3
449,7,4,sep,wed,89.7,284.9
450,7,4,aug,?,91.6,
451,4,5,aug,wed,95.2,217.7
452,1,4,aug,fri,90.5,196.8
453,7,4,aug,mon,91.5,238.2
454,4,5,aug,?,89.4,266.2
455,3,4,aug,thu,91.6,
456,3,4,jul,?,94.6,160.0
457,2,4,aug,?,91.6,248.4
458,1,4,aug,wed,91.7,
459,8,6,aug,?,93.7,231.1
460,7,4,aug,sat,91.6,273.8
461,2,5,aug,sat,93.7,231.1
462,8,6,aug,sat,93.7,
463,1,4,sep,sun,91.0,
464,6,5,feb,?,75.1,
465,6,4,feb,tue,75.1,4.4
466,2,2,feb,?,79.5,3.6
467,6,5,mar,?,87.2,15.1
468,3,4,mar,?,90.2,18.5
469,6,5,mar,thu,91.3,20.6
470,6,3,apr,?,91.0,14.6
471,5,4,apr,sun,91.0,14.6
472,4,3,may,fri,89.6,25.4
473,8,3,jun,mon,88.2,96.2
474,9,4,jun,sat,90.5,61.1
475,4,3,jun,thu,93.0,103.8
476,2,5,jun,?,93.7,121.7
477,4,3,jul,thu,93.5,
478,4,3,jul,?,93.7,101.3
479,7,4,jul,?,93.7,101.3
480,7,4,jul,?,89.2,103.9
481,9,9,jul,thu,93.2,114.4
482,4,3,jul,thu,93.2,114.4
483,3,4,aug,sun,94.9,130.3
484,8,6,aug,sun,94.9,130.3
485,2,5,aug,?,94.9,
486,2,4,aug,mon,95.0,135.5
487,5,4,aug,?,95.1,141.3
488,5,4,aug,tue,95.1,
489,4,4,aug,?,95.1,141.3
490,4,4,aug,?,95.1,141.3
491,4,4,aug,wed,95.1,141.3
492,4,4,aug,thu,95.8,152.0
493,1,3,aug,?,95.9,158.0
494,1,3,aug,fri,95.9,
495,6,6,aug,?,96.0,164.0
496,6,6,aug,?,96.2,175.5
497,4,5,aug,?,96.2,175.5
498,3,4,aug,?,96.1,181.1
499,6,5,aug,tue,96.1,181.1
500,7,5,aug,?,96.1,181.1
501,8,6,aug,?,96.1,181.1
502,7,5,aug,?,96.1,
503,4,4,aug,?,96.1,
504,2,4,aug,wed,94.5,139.4
505,4,3,aug,?,94.5,139.4
506,1,2,aug,thu,91.0,163.2
507,1,2,aug,fri,91.0,166.9
508,2,4,aug,fri,91.0,166.9
509,1,2,aug,fri,91.0,
510,5,4,aug,fri,91.0,
511,6,5,aug,fri,91.0,166.9
512,8,6,aug,sun,81.6,
513,4,3,aug,?,81.6,
514,2,4,aug,sun,81.6,56.7
515,7,4,aug,?,81.6,56.7
516,1,4,aug,?,94.4,
517,6,3,nov,?,79.5,
