id,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
93,Albania1996,,"3,314,898,292",1127.0,Silent
94,Albania1996,,"3,314,898,292",1127.0,Silent
95,Albania1996,,"3,314,898,292",1127.0,Millenials
96,Albania1996,,"3,314,898,292",1127.0,Millenials
97,Albania1997,,"2,359,903,108",793.0,Generation X
98,Albania1997,,"2,359,903,108",793.0,Generation X
99,Albania1997,,"2,359,903,108",793.0,G.I. Generation
100,Albania1997,,"2,359,903,108",793.0,Boomers
101,Albania1997,,"2,359,903,108",,Generation X
102,Albania1997,,"2,359,903,108",793.0,Silent
103,Albania1997,,"2,359,903,108",793.0,Generation X
104,Albania1997,,"2,359,903,108",793.0,G.I. Generation
105,Albania1997,,"2,359,903,108",793.0,Boomers
106,Albania1997,,"2,359,903,108",793.0,Millenials
107,Albania1997,,"2,359,903,108",,Millenials
108,Albania1997,,"2,359,903,108",793.0,Silent
109,Albania1998,,"2,707,123,772",899.0,G.I. Generation
110,Albania1998,,"2,707,123,772",,Generation X
111,Albania1998,,"2,707,123,772",899.0,Generation X
112,Albania1998,,"2,707,123,772",899.0,Generation X
113,Albania1998,,"2,707,123,772",899.0,Boomers
114,Albania1998,,"2,707,123,772",899.0,Silent
115,Albania1998,,"2,707,123,772",899.0,Generation X
116,Albania1998,,"2,707,123,772",899.0,Silent
117,Albania1998,,"2,707,123,772",899.0,Boomers
118,Albania1998,,"2,707,123,772",899.0,Millenials
119,Albania1998,,"2,707,123,772",899.0,Millenials
120,Albania1998,,"2,707,123,772",899.0,G.I. Generation
121,Albania1999,,"3,414,760,915",1127.0,G.I. Generation
122,Albania1999,,"3,414,760,915",,Generation X
123,Albania1999,,"3,414,760,915",1127.0,G.I. Generation
124,Albania1999,,"3,414,760,915",1127.0,Boomers
125,Albania1999,,"3,414,760,915",1127.0,Generation X
126,Albania1999,,"3,414,760,915",1127.0,Silent
127,Albania1999,,"3,414,760,915",1127.0,Generation X
128,Albania1999,,"3,414,760,915",1127.0,Generation X
129,Albania1999,,"3,414,760,915",1127.0,Silent
130,Albania1999,,"3,414,760,915",1127.0,Boomers
131,Albania1999,,"3,414,760,915",,Millenials
132,Albania1999,,"3,414,760,915",1127.0,Millenials
133,Albania2000,0.656,"3,632,043,908",1299.0,Generation X
134,Albania2000,0.656,"3,632,043,908",1299.0,Silent
135,Albania2000,0.656,"3,632,043,908",1299.0,G.I. Generation
136,Albania2000,0.656,"3,632,043,908",1299.0,G.I. Generation
137,Albania2000,0.656,"3,632,043,908",1299.0,Generation X
138,Albania2000,0.656,"3,632,043,908",1299.0,Generation X
139,Albania2000,0.656,"3,632,043,908",1299.0,Boomers
140,Albania2000,0.656,"3,632,043,908",1299.0,Generation X
141,Albania2000,0.656,"3,632,043,908",1299.0,Boomers
142,Albania2000,0.656,"3,632,043,908",1299.0,Millenials
143,Albania2000,0.656,"3,632,043,908",,Millenials
144,Albania2000,0.656,"3,632,043,908",1299.0,Silent
145,Albania2001,,"4,060,758,804",,Generation X
146,Albania2001,,"4,060,758,804",1451.0,Boomers
147,Albania2001,,"4,060,758,804",1451.0,Silent
148,Albania2001,,"4,060,758,804",1451.0,Silent
149,Albania2001,,"4,060,758,804",1451.0,Millenials
150,Albania2001,,"4,060,758,804",1451.0,Millenials
151,Albania2001,,"4,060,758,804",1451.0,Boomers
152,Albania2001,,"4,060,758,804",1451.0,Silent
153,Albania2001,,"4,060,758,804",,Silent
154,Albania2001,,"4,060,758,804",,Millenials
155,Albania2001,,"4,060,758,804",1451.0,Generation X
156,Albania2001,,"4,060,758,804",,Millenials
157,Albania2002,,"4,435,078,648",1573.0,Silent
158,Albania2002,,"4,435,078,648",1573.0,Generation X
159,Albania2002,,"4,435,078,648",1573.0,Boomers
160,Albania2002,,"4,435,078,648",1573.0,Silent
161,Albania2002,,"4,435,078,648",1573.0,Millenials
162,Albania2002,,"4,435,078,648",1573.0,Millenials
163,Albania2002,,"4,435,078,648",,Boomers
164,Albania2002,,"4,435,078,648",1573.0,Generation X
165,Albania2002,,"4,435,078,648",1573.0,Silent
166,Albania2002,,"4,435,078,648",1573.0,Silent
167,Albania2002,,"4,435,078,648",1573.0,Millenials
168,Albania2002,,"4,435,078,648",1573.0,Millenials
169,Albania2003,,"5,746,945,913",2021.0,Silent
170,Albania2003,,"5,746,945,913",2021.0,Silent
171,Albania2003,,"5,746,945,913",2021.0,Boomers
172,Albania2003,,"5,746,945,913",2021.0,Millenials
173,Albania2003,,"5,746,945,913",2021.0,Millenials
174,Albania2003,,"5,746,945,913",2021.0,Silent
175,Albania2003,,"5,746,945,913",2021.0,Generation X
176,Albania2003,,"5,746,945,913",2021.0,Generation X
177,Albania2003,,"5,746,945,913",2021.0,Boomers
178,Albania2003,,"5,746,945,913",2021.0,Silent
179,Albania2003,,"5,746,945,913",,Millenials
180,Albania2003,,"5,746,945,913",,Millenials
181,Albania2004,,"7,314,865,176",2544.0,Silent
182,Albania2004,,"7,314,865,176",2544.0,Boomers
183,Albania2004,,"7,314,865,176",2544.0,Generation X
184,Albania2004,,"7,314,865,176",2544.0,Millenials
185,Albania2004,,"7,314,865,176",,Millenials
186,Albania2004,,"7,314,865,176",2544.0,Silent
187,Albania2004,,"7,314,865,176",2544.0,Generation X
188,Albania2004,,"7,314,865,176",2544.0,Silent
189,Albania2004,,"7,314,865,176",2544.0,Boomers
190,Albania2004,,"7,314,865,176",2544.0,Silent
191,Albania2004,,"7,314,865,176",,Millenials
192,Albania2004,,"7,314,865,176",2544.0,Millenials
193,Albania2005,0.695,"8,158,548,717",2931.0,Millenials
194,Albania2005,0.695,"8,158,548,717",,Generation X
195,Albania2005,0.695,"8,158,548,717",2931.0,Boomers
196,Albania2005,0.695,"8,158,548,717",2931.0,Millenials
197,Albania2005,0.695,"8,158,548,717",2931.0,Silent
198,Albania2005,0.695,"8,158,548,717",2931.0,Silent
199,Albania2005,0.695,"8,158,548,717",2931.0,Millenials
200,Albania2005,0.695,"8,158,548,717",2931.0,Generation X
201,Albania2005,0.695,"8,158,548,717",2931.0,Boomers
202,Albania2005,0.695,"8,158,548,717",2931.0,Millenials
203,Albania2005,0.695,"8,158,548,717",2931.0,Silent
204,Albania2005,0.695,"8,158,548,717",2931.0,Silent
205,Albania2006,,"8,992,642,349",3235.0,Millenials
206,Albania2006,,"8,992,642,349",3235.0,Generation X
207,Albania2006,,"8,992,642,349",3235.0,Boomers
208,Albania2006,,"8,992,642,349",3235.0,Millenials
209,Albania2006,,"8,992,642,349",3235.0,Silent
210,Albania2006,,"8,992,642,349",3235.0,Silent
211,Albania2006,,"8,992,642,349",3235.0,Millenials
212,Albania2006,,"8,992,642,349",3235.0,Generation X
213,Albania2006,,"8,992,642,349",3235.0,Boomers
214,Albania2006,,"8,992,642,349",3235.0,Millenials
215,Albania2006,,"8,992,642,349",3235.0,Silent
216,Albania2006,,"8,992,642,349",3235.0,Silent
217,Albania2007,,"10,701,011,897",3863.0,Silent
218,Albania2007,,"10,701,011,897",3863.0,Boomers
219,Albania2007,,"10,701,011,897",3863.0,Silent
220,Albania2007,,"10,701,011,897",,Silent
221,Albania2007,,"10,701,011,897",3863.0,Generation X
222,Albania2007,,"10,701,011,897",,Millenials
223,Albania2007,,"10,701,011,897",3863.0,Millenials
224,Albania2007,,"10,701,011,897",3863.0,Generation X
225,Albania2007,,"10,701,011,897",3863.0,Silent
226,Albania2007,,"10,701,011,897",3863.0,Boomers
227,Albania2007,,"10,701,011,897",3863.0,Generation Z
228,Albania2007,,"10,701,011,897",3863.0,Generation Z
229,Albania2008,,"12,881,352,688",,Generation X
230,Albania2008,,"12,881,352,688",4672.0,Boomers
231,Albania2008,,"12,881,352,688",4672.0,Silent
232,Albania2008,,"12,881,352,688",4672.0,Silent
233,Albania2008,,"12,881,352,688",4672.0,Millenials
234,Albania2008,,"12,881,352,688",4672.0,Generation X
235,Albania2008,,"12,881,352,688",4672.0,Boomers
236,Albania2008,,"12,881,352,688",,Silent
237,Albania2008,,"12,881,352,688",4672.0,Millenials
238,Albania2008,,"12,881,352,688",4672.0,Silent
239,Albania2008,,"12,881,352,688",4672.0,Generation Z
240,Albania2008,,"12,881,352,688",4672.0,Generation Z
241,Albania2009,,"12,044,212,904",4387.0,Millenials
242,Albania2009,,"12,044,212,904",,Generation X
243,Albania2009,,"12,044,212,904",4387.0,Boomers
244,Albania2009,,"12,044,212,904",4387.0,Generation Z
245,Albania2009,,"12,044,212,904",4387.0,Silent
246,Albania2009,,"12,044,212,904",4387.0,Silent
247,Albania2009,,"12,044,212,904",4387.0,Millenials
248,Albania2009,,"12,044,212,904",4387.0,Generation X
249,Albania2009,,"12,044,212,904",4387.0,Boomers
250,Albania2009,,"12,044,212,904",4387.0,Generation Z
251,Albania2009,,"12,044,212,904",4387.0,Silent
252,Albania2009,,"12,044,212,904",4387.0,Silent
253,Albania2010,0.722,"11,926,953,259",4359.0,Silent
254,Albania2010,0.722,"11,926,953,259",4359.0,Generation X
255,Albania2010,0.722,"11,926,953,259",4359.0,Generation X
256,Albania2010,0.722,"11,926,953,259",4359.0,Silent
257,Albania2010,0.722,"11,926,953,259",4359.0,Millenials
258,Albania2010,0.722,"11,926,953,259",4359.0,Generation X
259,Albania2010,0.722,"11,926,953,259",4359.0,Silent
260,Albania2010,0.722,"11,926,953,259",4359.0,Generation X
261,Albania2010,0.722,"11,926,953,259",4359.0,Silent
262,Albania2010,0.722,"11,926,953,259",4359.0,Millenials
263,Albania2010,0.722,"11,926,953,259",4359.0,Generation Z
264,Albania2010,0.722,"11,926,953,259",4359.0,Generation Z
265,Antigua and Barbuda1985,,"240,923,926",3850.0,Generation X
266,Antigua and Barbuda1985,,"240,923,926",3850.0,Boomers
267,Antigua and Barbuda1985,,"240,923,926",3850.0,Silent
268,Antigua and Barbuda1985,,"240,923,926",3850.0,Generation X
269,Antigua and Barbuda1985,,"240,923,926",3850.0,G.I. Generation
270,Antigua and Barbuda1985,,"240,923,926",3850.0,G.I. Generation
271,Antigua and Barbuda1985,,"240,923,926",3850.0,Generation X
272,Antigua and Barbuda1985,,"240,923,926",3850.0,Boomers
273,Antigua and Barbuda1985,,"240,923,926",3850.0,Silent
274,Antigua and Barbuda1985,,"240,923,926",,Generation X
275,Antigua and Barbuda1985,,"240,923,926",3850.0,G.I. Generation
276,Antigua and Barbuda1985,,"240,923,926",3850.0,G.I. Generation
277,Antigua and Barbuda1986,,"290,440,148",4740.0,Generation X
278,Antigua and Barbuda1986,,"290,440,148",4740.0,Boomers
279,Antigua and Barbuda1986,,"290,440,148",,Silent
280,Antigua and Barbuda1986,,"290,440,148",,Generation X
281,Antigua and Barbuda1986,,"290,440,148",4740.0,G.I. Generation
282,Antigua and Barbuda1986,,"290,440,148",4740.0,G.I. Generation
283,Antigua and Barbuda1986,,"290,440,148",4740.0,Generation X
284,Antigua and Barbuda1986,,"290,440,148",4740.0,Boomers
285,Antigua and Barbuda1986,,"290,440,148",4740.0,Silent
286,Antigua and Barbuda1986,,"290,440,148",4740.0,Generation X
287,Antigua and Barbuda1986,,"290,440,148",4740.0,G.I. Generation
288,Antigua and Barbuda1986,,"290,440,148",4740.0,G.I. Generation
289,Antigua and Barbuda1987,,"337,174,852",5595.0,Generation X
290,Antigua and Barbuda1987,,"337,174,852",5595.0,Boomers
291,Antigua and Barbuda1987,,"337,174,852",5595.0,Silent
292,Antigua and Barbuda1987,,"337,174,852",5595.0,Generation X
293,Antigua and Barbuda1987,,"337,174,852",5595.0,G.I. Generation
294,Antigua and Barbuda1987,,"337,174,852",5595.0,G.I. Generation
295,Antigua and Barbuda1987,,"337,174,852",5595.0,Generation X
296,Antigua and Barbuda1987,,"337,174,852",5595.0,Boomers
297,Antigua and Barbuda1987,,"337,174,852",5595.0,Silent
298,Antigua and Barbuda1987,,"337,174,852",5595.0,Generation X
299,Antigua and Barbuda1987,,"337,174,852",5595.0,G.I. Generation
300,Antigua and Barbuda1987,,"337,174,852",5595.0,G.I. Generation
301,Antigua and Barbuda1988,,"398,637,741",6693.0,Generation X
302,Antigua and Barbuda1988,,"398,637,741",6693.0,Boomers
303,Antigua and Barbuda1988,,"398,637,741",,Silent
304,Antigua and Barbuda1988,,"398,637,741",6693.0,Generation X
305,Antigua and Barbuda1988,,"398,637,741",6693.0,G.I. Generation
306,Antigua and Barbuda1988,,"398,637,741",,G.I. Generation
307,Antigua and Barbuda1988,,"398,637,741",6693.0,Generation X
308,Antigua and Barbuda1988,,"398,637,741",6693.0,Boomers
309,Antigua and Barbuda1988,,"398,637,741",6693.0,Silent
310,Antigua and Barbuda1988,,"398,637,741",6693.0,Generation X
311,Antigua and Barbuda1988,,"398,637,741",6693.0,G.I. Generation
312,Antigua and Barbuda1988,,"398,637,741",6693.0,G.I. Generation
313,Antigua and Barbuda1989,,"438,794,778",7407.0,Generation X
314,Antigua and Barbuda1989,,"438,794,778",,Boomers
315,Antigua and Barbuda1989,,"438,794,778",7407.0,Silent
316,Antigua and Barbuda1989,,"438,794,778",,Generation X
317,Antigua and Barbuda1989,,"438,794,778",7407.0,G.I. Generation
318,Antigua and Barbuda1989,,"438,794,778",7407.0,G.I. Generation
319,Antigua and Barbuda1989,,"438,794,778",7407.0,Generation X
320,Antigua and Barbuda1989,,"438,794,778",7407.0,Boomers
321,Antigua and Barbuda1989,,"438,794,778",7407.0,Silent
322,Antigua and Barbuda1989,,"438,794,778",,Generation X
323,Antigua and Barbuda1989,,"438,794,778",,G.I. Generation
324,Antigua and Barbuda1989,,"438,794,778",,G.I. Generation
325,Antigua and Barbuda1990,,"459,469,074",,Silent
326,Antigua and Barbuda1990,,"459,469,074",,Generation X
327,Antigua and Barbuda1990,,"459,469,074",7744.0,Boomers
328,Antigua and Barbuda1990,,"459,469,074",7744.0,Silent
329,Antigua and Barbuda1990,,"459,469,074",7744.0,Generation X
330,Antigua and Barbuda1990,,"459,469,074",,G.I. Generation
331,Antigua and Barbuda1990,,"459,469,074",,G.I. Generation
332,Antigua and Barbuda1990,,"459,469,074",7744.0,Generation X
333,Antigua and Barbuda1990,,"459,469,074",7744.0,Boomers
334,Antigua and Barbuda1990,,"459,469,074",7744.0,Generation X
335,Antigua and Barbuda1990,,"459,469,074",7744.0,G.I. Generation
336,Antigua and Barbuda1990,,"459,469,074",7744.0,G.I. Generation
337,Antigua and Barbuda1991,,"481,706,333",,Generation X
338,Antigua and Barbuda1991,,"481,706,333",,Boomers
339,Antigua and Barbuda1991,,"481,706,333",7976.0,Boomers
340,Antigua and Barbuda1991,,"481,706,333",7976.0,Millenials
341,Antigua and Barbuda1991,,"481,706,333",7976.0,Silent
342,Antigua and Barbuda1991,,"481,706,333",7976.0,G.I. Generation
343,Antigua and Barbuda1991,,"481,706,333",7976.0,Generation X
344,Antigua and Barbuda1991,,"481,706,333",7976.0,Boomers
345,Antigua and Barbuda1991,,"481,706,333",7976.0,Boomers
346,Antigua and Barbuda1991,,"481,706,333",7976.0,Millenials
347,Antigua and Barbuda1991,,"481,706,333",7976.0,Silent
348,Antigua and Barbuda1991,,"481,706,333",7976.0,G.I. Generation
349,Antigua and Barbuda1992,,"499,281,148",8087.0,Generation X
350,Antigua and Barbuda1992,,"499,281,148",8087.0,Boomers
351,Antigua and Barbuda1992,,"499,281,148",8087.0,Boomers
352,Antigua and Barbuda1992,,"499,281,148",8087.0,Millenials
353,Antigua and Barbuda1992,,"499,281,148",8087.0,Silent
354,Antigua and Barbuda1992,,"499,281,148",8087.0,G.I. Generation
355,Antigua and Barbuda1992,,"499,281,148",8087.0,Generation X
356,Antigua and Barbuda1992,,"499,281,148",,Boomers
357,Antigua and Barbuda1992,,"499,281,148",8087.0,Boomers
358,Antigua and Barbuda1992,,"499,281,148",8087.0,Millenials
359,Antigua and Barbuda1992,,"499,281,148",8087.0,Silent
360,Antigua and Barbuda1992,,"499,281,148",8087.0,G.I. Generation
361,Antigua and Barbuda1993,,"535,172,778",,Boomers
362,Antigua and Barbuda1993,,"535,172,778",8453.0,Generation X
363,Antigua and Barbuda1993,,"535,172,778",8453.0,Boomers
364,Antigua and Barbuda1993,,"535,172,778",,Boomers
365,Antigua and Barbuda1993,,"535,172,778",8453.0,Millenials
366,Antigua and Barbuda1993,,"535,172,778",8453.0,Silent
367,Antigua and Barbuda1993,,"535,172,778",8453.0,G.I. Generation
368,Antigua and Barbuda1993,,"535,172,778",8453.0,Generation X
369,Antigua and Barbuda1993,,"535,172,778",8453.0,Boomers
370,Antigua and Barbuda1993,,"535,172,778",8453.0,Millenials
371,Antigua and Barbuda1993,,"535,172,778",8453.0,Silent
372,Antigua and Barbuda1993,,"535,172,778",8453.0,G.I. Generation
373,Antigua and Barbuda1994,,"589,429,593",9062.0,Generation X
374,Antigua and Barbuda1994,,"589,429,593",9062.0,Boomers
375,Antigua and Barbuda1994,,"589,429,593",9062.0,Boomers
376,Antigua and Barbuda1994,,"589,429,593",9062.0,Millenials
377,Antigua and Barbuda1994,,"589,429,593",9062.0,Silent
378,Antigua and Barbuda1994,,"589,429,593",9062.0,G.I. Generation
379,Antigua and Barbuda1994,,"589,429,593",9062.0,Generation X
380,Antigua and Barbuda1994,,"589,429,593",9062.0,Boomers
381,Antigua and Barbuda1994,,"589,429,593",9062.0,Boomers
382,Antigua and Barbuda1994,,"589,429,593",9062.0,Millenials
383,Antigua and Barbuda1994,,"589,429,593",9062.0,Silent
384,Antigua and Barbuda1994,,"589,429,593",9062.0,G.I. Generation
385,Antigua and Barbuda1995,,"577,280,741",8636.0,Generation X
386,Antigua and Barbuda1995,,"577,280,741",8636.0,Generation X
387,Antigua and Barbuda1995,,"577,280,741",8636.0,Boomers
388,Antigua and Barbuda1995,,"577,280,741",8636.0,Millenials
389,Antigua and Barbuda1995,,"577,280,741",8636.0,Silent
390,Antigua and Barbuda1995,,"577,280,741",8636.0,G.I. Generation
391,Antigua and Barbuda1995,,"577,280,741",8636.0,Generation X
392,Antigua and Barbuda1995,,"577,280,741",8636.0,Generation X
393,Antigua and Barbuda1995,,"577,280,741",,Boomers
394,Antigua and Barbuda1995,,"577,280,741",8636.0,Millenials
395,Antigua and Barbuda1995,,"577,280,741",8636.0,Silent
396,Antigua and Barbuda1995,,"577,280,741",,G.I. Generation
397,Antigua and Barbuda1998,,"727,860,593",10078.0,Generation X
398,Antigua and Barbuda1998,,"727,860,593",,Generation X
399,Antigua and Barbuda1998,,"727,860,593",,Boomers
400,Antigua and Barbuda1998,,"727,860,593",10078.0,Millenials
401,Antigua and Barbuda1998,,"727,860,593",10078.0,Silent
402,Antigua and Barbuda1998,,"727,860,593",10078.0,G.I. Generation
403,Antigua and Barbuda1998,,"727,860,593",10078.0,Generation X
404,Antigua and Barbuda1998,,"727,860,593",,Generation X
405,Antigua and Barbuda1998,,"727,860,593",,Boomers
406,Antigua and Barbuda1998,,"727,860,593",10078.0,Millenials
407,Antigua and Barbuda1998,,"727,860,593",10078.0,Silent
408,Antigua and Barbuda1998,,"727,860,593",10078.0,G.I. Generation
409,Antigua and Barbuda1999,,"766,198,926",10378.0,Generation X
410,Antigua and Barbuda1999,,"766,198,926",10378.0,Generation X
411,Antigua and Barbuda1999,,"766,198,926",10378.0,Boomers
412,Antigua and Barbuda1999,,"766,198,926",10378.0,Millenials
413,Antigua and Barbuda1999,,"766,198,926",10378.0,Silent
414,Antigua and Barbuda1999,,"766,198,926",,G.I. Generation
415,Antigua and Barbuda1999,,"766,198,926",,Generation X
416,Antigua and Barbuda1999,,"766,198,926",10378.0,Generation X
417,Antigua and Barbuda1999,,"766,198,926",,Boomers
418,Antigua and Barbuda1999,,"766,198,926",10378.0,Millenials
419,Antigua and Barbuda1999,,"766,198,926",10378.0,Silent
420,Antigua and Barbuda1999,,"766,198,926",,G.I. Generation
421,Antigua and Barbuda2000,,"830,158,778",11021.0,Silent
422,Antigua and Barbuda2000,,"830,158,778",11021.0,Boomers
423,Antigua and Barbuda2000,,"830,158,778",11021.0,Generation X
424,Antigua and Barbuda2000,,"830,158,778",11021.0,Generation X
425,Antigua and Barbuda2000,,"830,158,778",11021.0,Boomers
426,Antigua and Barbuda2000,,"830,158,778",11021.0,Millenials
427,Antigua and Barbuda2000,,"830,158,778",,Silent
428,Antigua and Barbuda2000,,"830,158,778",11021.0,G.I. Generation
429,Antigua and Barbuda2000,,"830,158,778",11021.0,Generation X
430,Antigua and Barbuda2000,,"830,158,778",11021.0,Generation X
431,Antigua and Barbuda2000,,"830,158,778",11021.0,Millenials
432,Antigua and Barbuda2000,,"830,158,778",11021.0,G.I. Generation
433,Antigua and Barbuda2001,,"800,740,259",,Boomers
434,Antigua and Barbuda2001,,"800,740,259",10468.0,Millenials
435,Antigua and Barbuda2001,,"800,740,259",10468.0,Generation X
436,Antigua and Barbuda2001,,"800,740,259",10468.0,Boomers
437,Antigua and Barbuda2001,,"800,740,259",10468.0,Millenials
438,Antigua and Barbuda2001,,"800,740,259",10468.0,Silent
439,Antigua and Barbuda2001,,"800,740,259",10468.0,Silent
440,Antigua and Barbuda2001,,"800,740,259",10468.0,Millenials
441,Antigua and Barbuda2001,,"800,740,259",10468.0,Generation X
442,Antigua and Barbuda2001,,"800,740,259",10468.0,Millenials
443,Antigua and Barbuda2001,,"800,740,259",10468.0,Silent
444,Antigua and Barbuda2001,,"800,740,259",10468.0,Silent
445,Antigua and Barbuda2002,,"814,615,333",10499.0,Millenials
446,Antigua and Barbuda2002,,"814,615,333",10499.0,Generation X
447,Antigua and Barbuda2002,,"814,615,333",10499.0,Boomers
448,Antigua and Barbuda2002,,"814,615,333",,Millenials
449,Antigua and Barbuda2002,,"814,615,333",10499.0,Silent
450,Antigua and Barbuda2002,,"814,615,333",10499.0,Silent
451,Antigua and Barbuda2002,,"814,615,333",10499.0,Millenials
452,Antigua and Barbuda2002,,"814,615,333",10499.0,Generation X
453,Antigua and Barbuda2002,,"814,615,333",10499.0,Boomers
454,Antigua and Barbuda2002,,"814,615,333",10499.0,Millenials
455,Antigua and Barbuda2002,,"814,615,333",10499.0,Silent
456,Antigua and Barbuda2002,,"814,615,333",10499.0,Silent
457,Antigua and Barbuda2003,,"855,643,111",10878.0,Silent
458,Antigua and Barbuda2003,,"855,643,111",10878.0,Millenials
459,Antigua and Barbuda2003,,"855,643,111",10878.0,Generation X
460,Antigua and Barbuda2003,,"855,643,111",10878.0,Boomers
461,Antigua and Barbuda2003,,"855,643,111",10878.0,Millenials
462,Antigua and Barbuda2003,,"855,643,111",10878.0,Silent
463,Antigua and Barbuda2003,,"855,643,111",10878.0,Silent
464,Antigua and Barbuda2003,,"855,643,111",10878.0,Millenials
465,Antigua and Barbuda2003,,"855,643,111",10878.0,Generation X
