id,country,year,sex,age,suicides_no,population,suicides/100k pop
115,Albania,1998.0,female,25-34 years,10,275300.0,3.63
116,Albania,1998.0,female,55-74 years,6,188200.0,3.19
117,Albania,1998.0,female,35-54 years,9,372100.0,2.42
118,Albania,1998.0,male,5-14 years,2,388400.0,0.51
119,Albania,1998.0,female,,1,,0.27
120,Albania,,female,75+ years,0,42300.0,0.0
121,Albania,1999.0,male,75+ years,3,25900.0,11.58
122,Albania,1999.0,male,15-24 years,24,250600.0,9.58
123,Albania,1999.0,female,75+ years,4,42400.0,9.43
124,Albania,1999.0,male,35-54 years,31,391100.0,7.93
125,Albania,1999.0,male,25-34 years,19,,7.84
126,Albania,,male,55-74 years,14,185200.0,7.56
127,Albania,1999.0,female,15-24 years,19,296800.0,6.4
128,Albania,1999.0,female,25-34 years,13,276500.0,4.7
129,Albania,,female,55-74 years,6,188800.0,3.18
130,Albania,1999.0,female,35-54 years,5,?,1.34
131,Albania,1999.0,female,5-14 years,1,365200.0,0.27
132,Albania,1999.0,male,5-14 years,0,391300.0,0.0
133,Albania,2000.0,male,25-34 years,17,232000.0,7.33
134,Albania,,male,55-74 years,10,177400.0,5.64
135,Albania,2000.0,female,75+ years,2,37800.0,5.29
136,Albania,2000.0,male,75+ years,1,24900.0,4.02
137,Albania,2000.0,female,15-24 years,6,,2.27
138,Albania,,male,15-24 years,5,,2.08
139,Albania,2000.0,female,,5,332200.0,1.51
140,Albania,2000.0,female,25-34 years,3,245800.0,1.22
141,Albania,2000.0,male,,4,374700.0,1.07
142,Albania,2000.0,male,5-14 years,1,?,0.27
143,Albania,2000.0,female,5-14 years,0,324700.0,0.0
144,Albania,2000.0,female,55-74 years,0,168000.0,0.0
145,Albania,2001.0,male,,22,,10.65
146,Albania,2001.0,male,35-54 years,34,378826.0,8.98
147,Albania,,male,55-74 years,11,196670.0,5.59
148,Albania,2001.0,female,75+ years,2,47254.0,4.23
149,Albania,2001.0,male,15-24 years,10,,3.91
150,Albania,2001.0,female,15-24 years,9,271359.0,3.32
151,Albania,2001.0,female,35-54 years,12,370191.0,3.24
152,Albania,2001.0,male,75+ years,1,31044.0,3.22
153,Albania,2001.0,female,55-74 years,6,189799.0,3.16
154,Albania,,male,5-14 years,6,321556.0,1.87
155,Albania,2001.0,female,,4,222771.0,1.8
156,Albania,2001.0,female,5-14 years,2,,0.65
157,Albania,,male,75+ years,4,31007.0,12.9
158,Albania,2002.0,male,25-34 years,23,206286.0,11.15
159,Albania,,male,35-54 years,35,382139.0,9.16
160,Albania,2002.0,male,,13,198130.0,6.56
161,Albania,2002.0,male,15-24 years,15,,5.7
162,Albania,2002.0,female,15-24 years,14,275970.0,5.07
163,Albania,,female,,15,375113.0,4.0
164,Albania,2002.0,female,25-34 years,7,223685.0,3.13
165,Albania,2002.0,female,75+ years,1,47407.0,2.11
166,Albania,2002.0,female,55-74 years,4,191712.0,2.09
167,Albania,2002.0,female,5-14 years,1,304850.0,0.33
168,Albania,,male,5-14 years,1,319473.0,0.31
169,Albania,2003.0,female,75+ years,6,?,12.22
170,Albania,2003.0,male,55-74 years,16,201520.0,7.94
171,Albania,2003.0,male,35-54 years,28,?,7.25
172,Albania,2003.0,male,15-24 years,15,273235.0,5.49
173,Albania,2003.0,female,15-24 years,14,283709.0,4.93
174,Albania,2003.0,female,55-74 years,9,195699.0,4.6
175,Albania,2003.0,male,,9,205433.0,4.38
176,Albania,2003.0,female,,9,222941.0,4.04
177,Albania,2003.0,female,35-54 years,13,381760.0,3.41
178,Albania,2003.0,male,,1,32667.0,3.06
179,Albania,2003.0,male,5-14 years,4,313204.0,1.28
180,Albania,2003.0,female,5-14 years,0,298477.0,0.0
181,Albania,2004.0,male,75+ years,4,35526.0,11.26
182,Albania,2004.0,male,35-54 years,39,391767.0,9.95
183,Albania,2004.0,male,25-34 years,16,,7.85
184,Albania,2004.0,female,15-24 years,20,292268.0,6.84
185,Albania,2004.0,male,15-24 years,19,286768.0,6.63
186,Albania,2004.0,female,75+ years,3,50970.0,5.89
187,Albania,2004.0,female,25-34 years,11,222389.0,4.95
188,Albania,2004.0,male,55-74 years,10,?,4.83
189,Albania,,female,35-54 years,17,,4.34
190,Albania,2004.0,female,55-74 years,3,203841.0,1.47
191,Albania,,female,5-14 years,3,286705.0,1.05
192,Albania,2004.0,male,5-14 years,1,,0.33
193,Albania,2005.0,female,,0,281922.0,0.0
194,Albania,2005.0,female,,0,190745.0,0.0
195,Albania,2005.0,female,35-54 years,0,386513.0,0.0
196,Albania,2005.0,female,5-14 years,0,276559.0,0.0
197,Albania,2005.0,female,55-74 years,0,210998.0,0.0
198,Albania,2005.0,female,75+ years,0,,0.0
199,Albania,2005.0,male,15-24 years,0,?,0.0
200,Albania,2005.0,male,25-34 years,0,177519.0,0.0
201,Albania,2005.0,male,,0,380242.0,0.0
202,Albania,2005.0,male,5-14 years,0,,0.0
203,Albania,2005.0,male,55-74 years,0,214118.0,0.0
204,Albania,2005.0,male,75+ years,0,38471.0,0.0
205,Albania,2006.0,female,15-24 years,0,283138.0,0.0
206,Albania,,female,25-34 years,0,186391.0,0.0
207,Albania,2006.0,female,,0,388746.0,0.0
208,Albania,2006.0,female,5-14 years,0,267316.0,0.0
209,Albania,2006.0,female,55-74 years,0,215907.0,0.0
210,Albania,2006.0,female,75+ years,0,56011.0,0.0
211,Albania,2006.0,male,15-24 years,0,286679.0,0.0
212,Albania,,male,25-34 years,0,174092.0,0.0
213,Albania,2006.0,male,35-54 years,0,379076.0,0.0
214,Albania,2006.0,male,,0,?,0.0
215,Albania,2006.0,male,55-74 years,0,219360.0,0.0
216,Albania,,male,75+ years,0,40782.0,0.0
217,Albania,2007.0,male,75+ years,8,42366.0,18.88
218,Albania,2007.0,male,35-54 years,29,378626.0,7.66
219,Albania,,male,55-74 years,14,224160.0,6.25
220,Albania,2007.0,female,75+ years,3,57404.0,5.23
221,Albania,2007.0,male,25-34 years,9,172494.0,5.22
222,Albania,2007.0,female,15-24 years,13,281080.0,4.63
223,Albania,,male,15-24 years,13,,4.51
224,Albania,,female,25-34 years,8,183629.0,4.36
225,Albania,2007.0,female,55-74 years,9,221120.0,4.07
226,Albania,2007.0,female,35-54 years,14,391811.0,3.57
227,Albania,2007.0,male,5-14 years,4,272497.0,1.47
228,Albania,2007.0,female,5-14 years,0,,0.0
229,Albania,2008.0,male,25-34 years,21,,12.15
230,Albania,2008.0,male,,37,377119.0,9.81
231,Albania,2008.0,male,55-74 years,21,228672.0,9.18
232,Albania,2008.0,female,75+ years,5,59369.0,8.42
233,Albania,,female,15-24 years,20,,7.24
234,Albania,2008.0,female,25-34 years,9,182663.0,4.93
235,Albania,2008.0,female,35-54 years,19,,4.82
236,Albania,2008.0,male,75+ years,2,44574.0,4.49
237,Albania,2008.0,male,15-24 years,11,286702.0,3.84
238,Albania,2008.0,female,55-74 years,7,,3.09
239,Albania,2008.0,male,5-14 years,7,262464.0,2.67
240,Albania,2008.0,female,5-14 years,1,246288.0,0.41
241,Albania,2009.0,female,15-24 years,0,270003.0,0.0
242,Albania,2009.0,female,25-34 years,0,182712.0,0.0
243,Albania,2009.0,female,35-54 years,0,394286.0,0.0
244,Albania,,female,5-14 years,0,236174.0,0.0
245,Albania,2009.0,female,55-74 years,0,,0.0
246,Albania,2009.0,female,75+ years,0,,0.0
247,Albania,,male,,0,283448.0,0.0
248,Albania,2009.0,male,25-34 years,0,174955.0,0.0
249,Albania,2009.0,male,35-54 years,0,374365.0,0.0
250,Albania,2009.0,male,5-14 years,0,253007.0,0.0
251,Albania,2009.0,male,55-74 years,0,?,0.0
252,Albania,2009.0,male,75+ years,0,47331.0,0.0
253,Albania,2010.0,male,55-74 years,20,241852.0,8.27
254,Albania,2010.0,male,,20,371611.0,5.38
255,Albania,2010.0,male,,9,,5.01
256,Albania,2010.0,male,75+ years,2,50767.0,3.94
257,Albania,2010.0,male,15-24 years,10,279508.0,3.58
258,Albania,,female,,6,183579.0,3.27
259,Albania,2010.0,female,75+ years,2,64415.0,3.1
260,Albania,2010.0,female,35-54 years,12,394593.0,3.04
261,Albania,2010.0,female,55-74 years,7,241491.0,2.9
262,Albania,2010.0,female,,6,263581.0,2.28
263,Albania,2010.0,female,5-14 years,2,223969.0,0.89
264,Albania,,male,5-14 years,0,240939.0,0.0
265,Antigua and Barbuda,1985.0,female,,0,7709.0,0.0
266,Antigua and Barbuda,1985.0,female,25-34 years,0,,0.0
267,Antigua and Barbuda,1985.0,female,35-54 years,0,6173.0,0.0
268,Antigua and Barbuda,1985.0,female,5-14 years,0,7339.0,0.0
269,Antigua and Barbuda,,female,55-74 years,0,?,0.0
270,Antigua and Barbuda,1985.0,female,75+ years,0,949.0,0.0
271,Antigua and Barbuda,1985.0,male,,0,7667.0,0.0
272,Antigua and Barbuda,1985.0,male,25-34 years,0,6194.0,0.0
273,Antigua and Barbuda,1985.0,male,,0,5970.0,0.0
274,Antigua and Barbuda,1985.0,male,5-14 years,0,7304.0,0.0
275,Antigua and Barbuda,1985.0,male,55-74 years,0,2723.0,0.0
276,Antigua and Barbuda,,male,,0,424.0,0.0
277,Antigua and Barbuda,1986.0,female,15-24 years,0,7668.0,0.0
278,Antigua and Barbuda,1986.0,female,25-34 years,0,?,0.0
279,Antigua and Barbuda,1986.0,female,35-54 years,0,6101.0,0.0
280,Antigua and Barbuda,1986.0,female,5-14 years,0,6907.0,0.0
281,Antigua and Barbuda,1986.0,female,55-74 years,0,3764.0,0.0
282,Antigua and Barbuda,1986.0,female,75+ years,0,1014.0,0.0
283,Antigua and Barbuda,,male,15-24 years,0,7563.0,0.0
284,Antigua and Barbuda,1986.0,male,25-34 years,0,?,0.0
285,Antigua and Barbuda,1986.0,male,35-54 years,0,5947.0,0.0
286,Antigua and Barbuda,1986.0,male,5-14 years,0,,0.0
287,Antigua and Barbuda,1986.0,male,55-74 years,0,2771.0,0.0
288,Antigua and Barbuda,1986.0,male,75+ years,0,476.0,0.0
289,Antigua and Barbuda,1987.0,female,15-24 years,0,7583.0,0.0
290,Antigua and Barbuda,1987.0,female,,0,6101.0,0.0
291,Antigua and Barbuda,,female,,0,6059.0,0.0
292,Antigua and Barbuda,1987.0,female,5-14 years,0,6623.0,0.0
293,Antigua and Barbuda,1987.0,female,55-74 years,0,3738.0,0.0
294,Antigua and Barbuda,1987.0,female,75+ years,0,1081.0,0.0
295,Antigua and Barbuda,,male,,0,?,0.0
296,Antigua and Barbuda,1987.0,male,25-34 years,0,5893.0,0.0
297,Antigua and Barbuda,1987.0,male,35-54 years,0,?,0.0
298,Antigua and Barbuda,1987.0,male,5-14 years,0,,0.0
299,Antigua and Barbuda,1987.0,male,55-74 years,0,2798.0,0.0
300,Antigua and Barbuda,1987.0,male,75+ years,0,538.0,0.0
301,Antigua and Barbuda,1988.0,female,15-24 years,0,?,0.0
302,Antigua and Barbuda,1988.0,female,25-34 years,0,6041.0,0.0
303,Antigua and Barbuda,1988.0,female,35-54 years,0,,0.0
304,Antigua and Barbuda,,female,5-14 years,0,?,0.0
305,Antigua and Barbuda,1988.0,female,55-74 years,0,3708.0,0.0
306,Antigua and Barbuda,1988.0,female,75+ years,0,1141.0,0.0
307,Antigua and Barbuda,1988.0,male,15-24 years,0,7209.0,0.0
308,Antigua and Barbuda,1988.0,male,25-34 years,0,,0.0
309,Antigua and Barbuda,,male,,0,5907.0,0.0
310,Antigua and Barbuda,1988.0,male,5-14 years,0,,0.0
311,Antigua and Barbuda,1988.0,male,55-74 years,0,,0.0
312,Antigua and Barbuda,1988.0,male,,0,?,0.0
313,Antigua and Barbuda,1989.0,female,15-24 years,0,7152.0,0.0
314,Antigua and Barbuda,1989.0,female,25-34 years,0,6059.0,0.0
315,Antigua and Barbuda,1989.0,female,,0,5969.0,0.0
316,Antigua and Barbuda,1989.0,female,5-14 years,0,6621.0,0.0
317,Antigua and Barbuda,1989.0,female,55-74 years,0,3696.0,0.0
318,Antigua and Barbuda,1989.0,female,75+ years,0,,0.0
319,Antigua and Barbuda,1989.0,male,,0,6927.0,0.0
320,Antigua and Barbuda,1989.0,male,25-34 years,0,5835.0,0.0
321,Antigua and Barbuda,1989.0,male,35-54 years,0,5862.0,0.0
322,Antigua and Barbuda,1989.0,male,5-14 years,0,6403.0,0.0
323,Antigua and Barbuda,1989.0,male,55-74 years,0,2843.0,0.0
324,Antigua and Barbuda,,male,,0,676.0,0.0
325,Antigua and Barbuda,,male,,1,5799.0,17.24
326,Antigua and Barbuda,1990.0,female,,0,,0.0
327,Antigua and Barbuda,1990.0,female,25-34 years,0,6172.0,0.0
328,Antigua and Barbuda,1990.0,female,35-54 years,0,5895.0,0.0
329,Antigua and Barbuda,1990.0,female,5-14 years,0,6877.0,0.0
330,Antigua and Barbuda,1990.0,female,55-74 years,0,3706.0,0.0
331,Antigua and Barbuda,1990.0,female,75+ years,0,?,0.0
332,Antigua and Barbuda,1990.0,male,15-24 years,0,6598.0,0.0
333,Antigua and Barbuda,1990.0,male,25-34 years,0,5937.0,0.0
334,Antigua and Barbuda,1990.0,male,5-14 years,0,6611.0,0.0
335,Antigua and Barbuda,1990.0,male,55-74 years,0,,0.0
336,Antigua and Barbuda,1990.0,male,75+ years,0,758.0,0.0
337,Antigua and Barbuda,1991.0,female,,0,6595.0,0.0
338,Antigua and Barbuda,1991.0,female,25-34 years,0,,0.0
339,Antigua and Barbuda,1991.0,female,35-54 years,0,,0.0
340,Antigua and Barbuda,1991.0,female,,0,7089.0,0.0
341,Antigua and Barbuda,1991.0,female,55-74 years,0,3665.0,0.0
342,Antigua and Barbuda,1991.0,female,75+ years,0,1293.0,0.0
343,Antigua and Barbuda,1991.0,male,,0,,0.0
344,Antigua and Barbuda,1991.0,male,25-34 years,0,6156.0,0.0
345,Antigua and Barbuda,1991.0,male,35-54 years,0,?,0.0
346,Antigua and Barbuda,1991.0,male,5-14 years,0,?,0.0
347,Antigua and Barbuda,1991.0,male,55-74 years,0,2857.0,0.0
348,Antigua and Barbuda,1991.0,male,75+ years,0,804.0,0.0
349,Antigua and Barbuda,1992.0,female,15-24 years,0,?,0.0
350,Antigua and Barbuda,,female,25-34 years,0,6650.0,0.0
351,Antigua and Barbuda,,female,35-54 years,0,6534.0,0.0
352,Antigua and Barbuda,1992.0,female,5-14 years,0,7311.0,0.0
353,Antigua and Barbuda,1992.0,female,,0,3648.0,0.0
354,Antigua and Barbuda,1992.0,female,75+ years,0,1339.0,0.0
355,Antigua and Barbuda,1992.0,male,15-24 years,0,6221.0,0.0
356,Antigua and Barbuda,1992.0,male,25-34 years,0,6409.0,0.0
357,Antigua and Barbuda,1992.0,male,35-54 years,0,6497.0,0.0
358,Antigua and Barbuda,,male,,0,7059.0,0.0
359,Antigua and Barbuda,1992.0,male,55-74 years,0,2851.0,0.0
360,Antigua and Barbuda,1992.0,male,75+ years,0,853.0,0.0
361,Antigua and Barbuda,,male,25-34 years,1,6668.0,15.0
362,Antigua and Barbuda,1993.0,female,15-24 years,0,6182.0,0.0
363,Antigua and Barbuda,1993.0,female,25-34 years,0,6914.0,0.0
364,Antigua and Barbuda,1993.0,female,,0,6917.0,0.0
365,Antigua and Barbuda,1993.0,female,5-14 years,0,7529.0,0.0
366,Antigua and Barbuda,1993.0,female,55-74 years,0,,0.0
367,Antigua and Barbuda,1993.0,female,75+ years,0,1386.0,0.0
368,Antigua and Barbuda,1993.0,male,15-24 years,0,,0.0
369,Antigua and Barbuda,,male,35-54 years,0,6915.0,0.0
370,Antigua and Barbuda,1993.0,male,,0,7298.0,0.0
371,Antigua and Barbuda,1993.0,male,55-74 years,0,2879.0,0.0
372,Antigua and Barbuda,1993.0,male,75+ years,0,896.0,0.0
373,Antigua and Barbuda,,female,15-24 years,0,6083.0,0.0
374,Antigua and Barbuda,1994.0,female,25-34 years,0,7151.0,0.0
375,Antigua and Barbuda,1994.0,female,35-54 years,0,7357.0,0.0
376,Antigua and Barbuda,1994.0,female,5-14 years,0,7722.0,0.0
377,Antigua and Barbuda,1994.0,female,55-74 years,0,3715.0,0.0
378,Antigua and Barbuda,1994.0,female,75+ years,0,1437.0,0.0
379,Antigua and Barbuda,1994.0,male,15-24 years,0,5976.0,0.0
380,Antigua and Barbuda,1994.0,male,25-34 years,0,,0.0
381,Antigua and Barbuda,1994.0,male,,0,,0.0
382,Antigua and Barbuda,1994.0,male,5-14 years,0,7494.0,0.0
383,Antigua and Barbuda,1994.0,male,55-74 years,0,,0.0
384,Antigua and Barbuda,,male,,0,929.0,0.0
385,Antigua and Barbuda,1995.0,female,15-24 years,0,6099.0,0.0
386,Antigua and Barbuda,,female,25-34 years,0,7333.0,0.0
387,Antigua and Barbuda,1995.0,female,35-54 years,0,7851.0,0.0
388,Antigua and Barbuda,1995.0,female,5-14 years,0,7885.0,0.0
389,Antigua and Barbuda,1995.0,female,55-74 years,0,?,0.0
390,Antigua and Barbuda,1995.0,female,75+ years,0,1488.0,0.0
391,Antigua and Barbuda,1995.0,male,15-24 years,0,5953.0,0.0
392,Antigua and Barbuda,1995.0,male,25-34 years,0,7023.0,0.0
393,Antigua and Barbuda,1995.0,male,35-54 years,0,7809.0,0.0
394,Antigua and Barbuda,1995.0,male,5-14 years,0,7632.0,0.0
395,Antigua and Barbuda,,male,55-74 years,0,,0.0
396,Antigua and Barbuda,1995.0,male,75+ years,0,,0.0
397,Antigua and Barbuda,1998.0,female,15-24 years,0,6529.0,0.0
398,Antigua and Barbuda,1998.0,female,25-34 years,0,8332.0,0.0
399,Antigua and Barbuda,1998.0,female,35-54 years,0,9615.0,0.0
400,Antigua and Barbuda,1998.0,female,5-14 years,0,8183.0,0.0
401,Antigua and Barbuda,,female,55-74 years,0,,0.0
402,Antigua and Barbuda,1998.0,female,75+ years,0,1476.0,0.0
403,Antigua and Barbuda,,male,,0,5916.0,0.0
404,Antigua and Barbuda,1998.0,male,25-34 years,0,7294.0,0.0
405,Antigua and Barbuda,,male,35-54 years,0,9086.0,0.0
406,Antigua and Barbuda,1998.0,male,5-14 years,0,,0.0
407,Antigua and Barbuda,1998.0,male,55-74 years,0,?,0.0
408,Antigua and Barbuda,1998.0,male,75+ years,0,,0.0
409,Antigua and Barbuda,,female,15-24 years,0,6589.0,0.0
410,Antigua and Barbuda,1999.0,female,25-34 years,0,8526.0,0.0
411,Antigua and Barbuda,1999.0,female,35-54 years,0,10311.0,0.0
412,Antigua and Barbuda,1999.0,female,,0,8314.0,0.0
413,Antigua and Barbuda,1999.0,female,55-74 years,0,3968.0,0.0
414,Antigua and Barbuda,1999.0,female,75+ years,0,1451.0,0.0
415,Antigua and Barbuda,1999.0,male,15-24 years,0,5845.0,0.0
416,Antigua and Barbuda,,male,25-34 years,0,,0.0
417,Antigua and Barbuda,,male,35-54 years,0,9537.0,0.0
418,Antigua and Barbuda,,male,5-14 years,0,7805.0,0.0
419,Antigua and Barbuda,1999.0,male,55-74 years,0,3276.0,0.0
420,Antigua and Barbuda,1999.0,male,75+ years,0,,0.0
421,Antigua and Barbuda,2000.0,male,55-74 years,1,3333.0,30.0
422,Antigua and Barbuda,2000.0,male,35-54 years,1,10033.0,9.97
423,Antigua and Barbuda,2000.0,female,15-24 years,0,6616.0,0.0
424,Antigua and Barbuda,2000.0,female,25-34 years,0,8595.0,0.0
425,Antigua and Barbuda,,female,35-54 years,0,11040.0,0.0
426,Antigua and Barbuda,2000.0,female,5-14 years,0,8439.0,0.0
427,Antigua and Barbuda,2000.0,female,55-74 years,0,3986.0,0.0
428,Antigua and Barbuda,2000.0,female,,0,?,0.0
429,Antigua and Barbuda,2000.0,male,15-24 years,0,5783.0,0.0
430,Antigua and Barbuda,2000.0,male,25-34 years,0,?,0.0
431,Antigua and Barbuda,2000.0,male,5-14 years,0,7973.0,0.0
432,Antigua and Barbuda,2000.0,male,75+ years,0,938.0,0.0
433,Antigua and Barbuda,2001.0,male,35-54 years,2,,19.45
434,Antigua and Barbuda,2001.0,female,15-24 years,0,6902.0,0.0
435,Antigua and Barbuda,,female,25-34 years,0,8425.0,0.0
436,Antigua and Barbuda,,female,,0,11402.0,0.0
437,Antigua and Barbuda,2001.0,female,5-14 years,0,8428.0,0.0
438,Antigua and Barbuda,2001.0,female,55-74 years,0,4037.0,0.0
439,Antigua and Barbuda,2001.0,female,75+ years,0,1487.0,0.0
440,Antigua and Barbuda,2001.0,male,15-24 years,0,6084.0,0.0
441,Antigua and Barbuda,2001.0,male,25-34 years,0,?,0.0
442,Antigua and Barbuda,2001.0,male,5-14 years,0,7958.0,0.0
443,Antigua and Barbuda,2001.0,male,,0,3442.0,0.0
444,Antigua and Barbuda,2001.0,male,75+ years,0,980.0,0.0
445,Antigua and Barbuda,2002.0,female,15-24 years,0,7196.0,0.0
446,Antigua and Barbuda,2002.0,female,25-34 years,0,8155.0,0.0
447,Antigua and Barbuda,2002.0,female,35-54 years,0,11760.0,0.0
448,Antigua and Barbuda,2002.0,female,,0,8408.0,0.0
449,Antigua and Barbuda,2002.0,female,55-74 years,0,4050.0,0.0
450,Antigua and Barbuda,2002.0,female,75+ years,0,1547.0,0.0
451,Antigua and Barbuda,2002.0,male,15-24 years,0,6416.0,0.0
452,Antigua and Barbuda,2002.0,male,25-34 years,0,6921.0,0.0
453,Antigua and Barbuda,2002.0,male,35-54 years,0,10604.0,0.0
454,Antigua and Barbuda,,male,5-14 years,0,?,0.0
455,Antigua and Barbuda,,male,55-74 years,0,,0.0
456,Antigua and Barbuda,2002.0,male,75+ years,0,1024.0,0.0
